city,latitude,longitude,c40,country,risk0,risk1,risk2,risk3,risk4,risk5,risk6
Laval,45.6207,-73.7126,False,Canada,,1.0,,,,,
Leicester,52.6333,-1.1333,False,United Kingdom of Great Britain and Northern Ireland,,,2.0,2.0,,,
Leticia,-4.21528,-69.9406,False,Colombia,,,2.0,,,,
Lilongwe,-13.9626,33.7741,False,Malawi,,,,2.0,,,
Limeira,-22.5665,-47.3974,False,Brazil,,,,2.0,,,
London,51.5048,-0.07868,True,United Kingdom of Great Britain and Northern Ireland,0.0,2.0,0.0,2.0,0.0,1.0,0.0
Londrina,-23.3356,-51.1505,False,Brazil,2.0,,,,,,1.0
Long Beach,33.7701,-118.194,False,United States of America,,,1.0,2.0,,,
Lorena,-22.7339,-45.1201,False,Brazil,3.0,,2.0,3.0,2.0,,
MaceiÃ³,-9.67342,-35.718,False,Brazil,2.0,,2.0,,,,
Manhattan Beach,33.8889,-118.405,False,United States of America,,,,2.0,,,
Mannheim,49.4875,8.46603,False,Germany,,,,,,,2.0
Mazabuka,-15.8613,27.7491,False,Zambia,2.0,,,2.0,,,
MedellÃ­n,6.22729,-75.5735,True,Colombia,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Memphis,35.1495,-90.049,False,United States of America,2.0,,,1.0,,,
Mendoza,-32.8894,-68.8458,False,Argentina,,,2.0,2.0,,,
Mexico City,19.4326,-99.1332,True,Mexico,0.0,0.0,2.0,3.0,0.0,0.0,0.0
Miami Beach,25.7906,-80.13,False,United States of America,,,2.0,2.0,,,
Minneapolis,44.9833,-93.2667,False,United States of America,,,,1.0,,,
Miraflores,-16.3994,-71.5366,False,Peru,,,,3.0,,,
Mirandela,41.51,-7.1753,False,Portugal,2.0,,,2.0,,,
Moab,38.57,-109.54,False,United States of America,,,,2.0,,,
MonterÃ­a,8.74798,-75.8814,False,Colombia,1.0,,,2.0,,,
Murcia,37.799,-1.00495,False,Spain,2.0,,,3.0,,,
MÃ©rida,20.9674,-89.5926,False,Mexico,2.0,,,,,,
Nacala,-14.5656,40.6854,False,Mozambique,,,,2.0,,,
Nagoya,35.1815,136.906,False,Japan,2.0,,2.0,,,,
Nairobi,-1.29206,36.8219,True,Kenya,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Nakuru,-0.30309,36.08,False,Kenya,2.0,3.0,2.0,2.0,,,
Nashville,36.1627,-86.7816,False,United States of America,1.0,,2.0,2.0,,,
Natal,-5.77925,-35.2009,False,Brazil,2.0,,,2.0,,,
Natchez,31.5604,-91.4032,False,United States of America,,,2.0,,,,
Naucalpan de JuÃ¡rez,19.4631,-99.2453,False,Mexico,,,,2.0,,,
New Bedford,41.6362,-70.9342,False,United States of America,,,2.0,,,,
New Plymouth District,-39.1011,174.354,False,New Zealand,,2.0,2.0,,,,
New Taipei,25.0111,121.446,False,"Taiwan, Greater China",,,,1.0,,,
Nijmegen,51.8449,5.84282,False,Netherlands,2.0,,,,,,
NiterÃ³i,-22.8928,-43.1184,False,Brazil,,,2.0,2.0,,,
North Vancouver,49.32,-123.072,False,Canada,2.0,2.0,2.0,2.0,,,
Oakland,37.8044,-122.271,False,United States of America,,,2.0,3.0,,2.0,2.0
OlÃ­mpia,-20.7371,-48.9111,False,Brazil,,,,2.0,,,
Oristano,39.7207,8.898,False,Italy,2.0,,,2.0,,,
Oslo,59.9139,10.7522,True,Norway,1.0,0.0,0.0,3.0,0.0,0.0,0.0
Ovar,40.8901,-8.59723,False,Portugal,2.0,,,2.0,,,
Palmira,3.53944,-76.3036,False,Colombia,2.0,2.0,,2.0,,,
Paris,48.8566,2.35222,True,France,3.0,0.0,0.0,2.0,0.0,0.0,0.0
Park City,40.6461,-111.498,False,United States of America,,,,2.0,,,
Parma,44.8015,10.3279,False,Italy,,,,2.0,,,
Pemba,-12.9732,40.5178,False,Mozambique,,2.0,2.0,2.0,2.0,,
Phoenix,33.4484,-112.074,False,United States of America,,,,2.0,,,2.0
Piedmont,37.8244,-122.232,False,United States of America,,,,1.0,,,1.0
PingtungÂ County,22.6558,120.47,False,"Taiwan, Greater China",3.0,,,,,,
PirenÃ³polis,-15.8545,-48.9595,False,Brazil,3.0,,,2.0,,,
Pittsburgh,40.4406,-79.9959,False,United States of America,2.0,,2.0,2.0,,,
Podgorica,42.4304,19.2594,False,Montenegro,2.0,,2.0,2.0,,,1.0
"Portland, ME",43.6615,-70.2553,False,United States of America,2.0,,2.0,,,,
"Portland, OR",45.52,-122.682,True,United States of America,0.0,0.0,3.0,2.0,0.0,2.0,2.0
Prince George,53.9171,-122.75,False,Canada,3.0,,2.0,,,,
Providencia,-33.4313,-70.6092,False,Chile,2.0,,,2.0,,,
Puerto Barrios,-88.5944,15.7278,False,Guatemala,1.0,,,1.0,,,
PÃ¤rnu,58.3858,24.4966,False,Estonia,,,,2.0,,,
Quelimane,-17.8503,36.9218,False,Mozambique,2.0,,2.0,,,2.0,
Quito,-0.2333,-78.5167,True,Ecuador,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Ramsey,45.2611,-93.45,False,United States of America,,1.0,,,,,
Recife,-8.05783,-34.8829,False,Brazil,3.0,,,,,,
Reggio Emilia,44.4376,10.8774,False,Italy,,,,2.0,,,
Reno,39.5296,-119.814,False,United States of America,2.0,,,2.0,,,
ReykjavÃ­k,64.1265,-21.8174,False,Iceland,1.0,,,1.0,,,
"Richmond, VA",37.5407,-77.436,False,United States of America,,,2.0,,,,
Riga,56.9496,24.1052,False,Latvia,1.0,,2.0,,2.0,,1.0
Rio Verde,-17.9685,-50.4892,False,Brazil,3.0,,,,,,
Rio de Janeiro,-22.9054,-43.5614,True,Brazil,0.0,0.0,3.0,2.0,2.0,0.0,0.0
Rochester,43.161,-77.6109,False,United States of America,2.0,,,2.0,,,
Roma,41.53,12.2858,True,Italy,0.0,0.0,2.0,3.0,0.0,0.0,0.0
Rostock,54.0887,12.1405,False,Germany,,,2.0,,,,
Sacramento,38.5816,-121.494,False,United States of America,,,,2.0,,,
Salt Lake City,40.7608,-111.891,False,United States of America,2.0,,2.0,3.0,,,
San Antonio,29.4241,-98.4936,False,United States of America,,,,3.0,,,
San Francisco,37.7749,-122.419,True,United States of America,0.0,0.0,0.0,2.0,0.0,0.0,0.0
San Isidro (Lima),-12.0977,-77.0273,False,Peru,,,2.0,3.0,,,2.0
"San JosÃ©, CA",37.3382,-121.886,False,United States of America,,,,2.0,,,
San Leandro,37.7249,-122.156,False,United States of America,,,2.0,2.0,,,
San Pedro de UrabÃ¡,-76.3414,8.34552,False,Colombia,2.0,,,,,,
"Santa Cruz, CA",36.9741,-122.031,False,United States of America,,,,2.0,,,
Santa Fe County,35.5,-106.0,False,United States of America,,2.0,,2.0,,,
SantarÃ©m,39.2367,-8.68599,False,Portugal,,,,2.0,,,
Santiago,-33.4489,-70.6693,False,Chile,3.0,3.0,,3.0,,,
Santiago,-33.4489,-70.6693,True,Chile,2.0,0.0,0.0,2.0,0.0,2.0,0.0
Santiago de Cali,3.45164,-76.532,False,Colombia,2.0,,,,,,
Santiago de Guayaquil,-2.17099,-79.9223,False,Ecuador,,,,2.0,,,
Santiago de Surco,-12.1453,-77.0051,False,Peru,,,,3.0,,,
Saratoga Springs,43.0333,-73.8167,False,United States of America,1.0,1.0,,,,,
Saskatoon,52.1332,-106.67,False,Canada,2.0,,2.0,2.0,,,
Seattle,47.6062,-122.332,True,United States of America,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Sekhukhune District Municipality,-24.8335,29.974,False,South Africa,2.0,,,,,,
Sincelejo,9.30457,-75.3906,False,Colombia,2.0,,,2.0,,,2.0
SopÃ³,4.9075,-73.9384,False,Colombia,,1.0,,,,,
Sorocaba,-23.4775,-47.4221,False,Brazil,3.0,2.0,2.0,2.0,,,
St Catharines,43.1594,-79.2469,False,Canada,2.0,,2.0,,,,1.0
St Louis,38.627,-90.1994,False,United States of America,,,2.0,2.0,,,
Stockholm,59.3293,18.0686,True,Sweden,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Surfside,25.8789,-80.1233,False,United States of America,,,2.0,2.0,,,
Suwon,37.17,126.805,False,Republic of Korea,,,,2.0,,,
SÃ£o Bento do SapucaÃ­,-22.6874,-45.732,False,Brazil,3.0,3.0,3.0,3.0,,,
SÃ£o Leopoldo,-29.761,-51.1493,False,Brazil,,1.0,1.0,1.0,,,1.0
SÃ£o Paulo,-23.5595,-46.7382,True,Brazil,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SÃ£o Vicente,-23.963,-46.3919,False,Brazil,,1.0,,,,,
Taichung,24.1619,120.647,False,"Taiwan, Greater China",,,,1.0,,,
Taipei,25.0375,121.564,False,"Taiwan, Greater China",1.0,,,2.0,,,
TangarÃ¡ da Serra,-14.6194,-57.4858,False,Brazil,,,,2.0,,,
TatuÃ­,-23.3492,-47.8466,False,Brazil,2.0,,,2.0,,,
Tegucigalpa,14.1051,-87.2044,False,Honduras,,,,,,,2.0
Tempe,33.4255,-111.94,False,United States of America,,,2.0,2.0,,,
The Hague,52.0705,4.3007,False,Netherlands,2.0,,,2.0,,,
Tokyo,35.41,139.41,True,Japan,2.0,0.0,2.0,2.0,0.0,0.0,0.0
Toledo,41.6639,-83.5552,False,United States of America,3.0,,,,,,
Torres Vedras,38.7637,-9.30148,False,Portugal,2.0,,2.0,2.0,,,
TorreÃ³n,25.5428,-103.407,False,Mexico,3.0,2.0,,2.0,,,
Tuzla,44.5375,18.6735,False,Turkey,,,,2.0,,,
Urla,38.3434,26.5536,False,Turkey,1.0,,,,,,
Vail,39.6403,-106.374,False,United States of America,2.0,,,2.0,,,
Vancouver,49.2612,-123.114,True,Canada,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Vhembe,-22.7695,29.974,False,South Africa,3.0,,,3.0,,,
Vinhedo,-23.0307,-46.9838,False,Brazil,,,,2.0,,,
VitÃ³ria,-20.3338,-40.3776,False,Brazil,2.0,,,2.0,,,2.0
Warsaw,52.2297,21.0122,True,Poland,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Washington, DC",38.9072,-77.0369,True,United States of America,2.0,0.0,2.0,2.0,0.0,0.0,0.0
Wellington,-41.2865,174.776,False,New Zealand,,,2.0,2.0,,,
West Coast District Municipality,-32.0951,18.627,False,South Africa,,,,2.0,,,
West Hollywood,34.09,-118.362,False,United States of America,,,,2.0,,,
West Palm Beach,26.7153,-80.0534,False,United States of America,,,2.0,3.0,,,
Windhoek,-22.5609,17.0658,False,Namibia,,,,2.0,,,
Windsor,42.3149,-83.0364,False,Canada,2.0,,,1.0,,,
Winston-Salem,36.0999,-80.2442,False,United States of America,,,,1.0,,,
Wollongong,-34.4278,150.893,False,Australia,2.0,,,2.0,,,
Xalapa,20.1318,-98.7556,False,Mexico,,2.0,2.0,2.0,,,2.0
YaoundÃ© 6,3.86181,11.5191,False,Cameroon,,,2.0,2.0,,,
Yokohama,35.4437,139.638,True,Japan,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Ãlhavo,38.85,-7.58,False,Portugal,2.0,,,2.0,,,
Ã–rebro,59.2741,15.2066,False,Sweden,,,,1.0,,,
