Code,Agricultural water withdrawal as % of total renewable water resources,Agricultural water withdrawal as % of total water withdrawal,Dam capacity per capita,Dependency ratio,Flood occurrence (WRI),Industrial water withdrawal as % of total water withdrawal,Interannual variability (WRI),MDG 7.5. Freshwater withdrawal as % of total renewable water resources,Municipal water withdrawal as % of total withdrawal,National Rainfall Index (NRI),Rural population with access to safe drinking-water (JMP),SDG 6.4.1. Industrial Water Use Efficiency,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,SDG 6.4.1. Services Water Use Efficiency,SDG 6.4.1. Water Use Efficiency,SDG 6.4.2. Water Stress,Seasonal variability (WRI),Total internal renewable water resources per capita,Total population with access to safe drinking-water (JMP),Total renewable water resources per capita,Total water withdrawal per capita,Urban population with access to safe drinking-water (JMP),Country
PLW,58.801830851031966,52.729004237556794,865.3194937347553,0.0,2.763612231309028,18.134263426541608,1.8216692865567885,60.79051895922944,29.13673287709021,1054.7292720203316,86.0,512.1117538900762,1.327601570728711,146.9231225061427,87.53092894462381,68.75580482998245,2.2055874616026907,-1777.6187281866487,95.3,0.0,414.1278743781438,97.0,Palau
PSE,19.3548387097,43.1769722814,0.0,2.9868578256,3.0,8.5287846482,2.7,34.4086021505,48.2942430704,1057.6698151487958,81.5,83.3276737314,5.9837919088,51.8871625497,34.7489704228,41.0783055199,3.1,171.0472239899,58.4,176.3134562556,79.0356138436,50.7,Palestine
PAN,0.320234882,36.8251609708,2224.8877402162,1.9410785046,2.8,0.5118045237,0.9,0.8696089129,62.6630345055,2461.0,88.6,2668.8364756802,0.3000322487,52.2478813711,46.509821103,0.9010711098,2.4,33262.1581588835,94.7,33920.5833101399,294.9764157663,97.7,Panama
PNG,0.0001248439,0.2550369804,0.0,0.0,1.6,42.7441979087,0.9,0.0489513109,57.0007651109,3250.0,32.8,38.6455249033,1.0178027407434862,48.5213869971,52.41406113550599,0.1322428331,1.0,94927.3029885153,40.0,94927.3029885153,46.4681591783,88.0,Papua New Guinea
PRY,0.4892075199,78.6158309159,4882.583684636,69.8274750496,3.3,6.3820969747,1.6,0.6222760915,15.0020721094,1228.0,94.9,66.9879490766,0.1496470777,61.4756477959,13.6155031771,1.835399711,2.1,17037.8565153273,98.0,56468.116418363,351.3875877905,100.0,Paraguay
PER,0.6968826471,81.3482699521,183.5892790483,12.7034790935,2.8,1.2829429444,4.2,0.8566656027,17.3687871035,2229.0,69.2,282.2199781771,0.3898022939,40.7956356362,11.0235258213,3.0010316516,2.9,52187.5222019585,86.7,59781.9038605982,512.1310070271,91.4,Peru
PHL,14.1899791232,73.2838089899,67.5554093413,0.0,4.0,17.0891330365,1.2,19.363256785,9.6270579737,2640.0,90.3,5.7597285052,0.1695716445,23.5495628813,3.375686298,28.3552430449,2.1,4554.4040921178,91.8,4554.4040921178,881.8714512314,93.7,Philippines
POL,1.6826446281,10.0982045432,77.8828019154,11.4049586777,2.7,69.784743577,1.2,16.6611570248,20.1170518798,600.9,96.9,18.1081375384,0.151468279,153.6915502158,43.5702218161,34.8909657321,0.6,1412.2663766251,98.3,1594.0693243623,265.6167414694,99.3,Poland
PRT,11.326873385,78.4301446579,1130.6477593926,50.9043927649,2.4,13.3922580761,2.3,11.8165374677,8.1775972661,920.7,100.0,22.7147555937,0.1850833394,157.3123922976,16.051553713,18.3765320474,2.8,3693.4344440171,100.0,7522.9427886033,1086.4626199649,100.0,Portugal
PRI,1.5985915493,3.4661780424,953.1475189652404,0.0,2.8445099978590918,72.22476714,1.609207422027434,12.323943662,24.3090548175,1093.0,93.6,20.6552019578,1.8716062375,63.0044443198,30.298829628,19.5356106274,1.325509994389902,2244.2311406352,93.6,2244.2311406352,1035.0330802831,93.6,Puerto Rico
QAT,502.9310344828,31.9636204252,899.9791721738613,3.4482758621,0.0,15.7462195924,2.6,432.4137931034,52.2901599825,36.0,100.0,653.1117559934,1.068392839,169.165748695,191.6389489422,432.4137931034,0.4,20.5525101955,100.0,21.2865284168,334.9325143647,100.0,Qatar
KOR,22.8981348637,58.9321320434,368.6080520522,6.9583931133,3.5,16.43157817,1.5,41.8895265423,24.6362897866,1061.6111437249706,87.9,113.9902194762,1.5878440703,133.0511521136,52.4450097826,85.2218330414,3.3,1269.1692753787,97.6,1364.0878719182,530.0176147387,99.7,Republic of Korea
MDA,0.3422982885,5.0,277.7309761055,86.7970660147,3.8,77.380952381,1.1,6.8459657702,17.619047619,541.3,81.4,2.4330933613,0.6578926291,32.2587090723,7.5993227595,12.474012474,0.8,399.0458370652,88.4,3022.4027288824,206.912656256,96.9,Republic of Moldova
ROU,0.7032687137,22.0138786358,562.8583213905,80.010376869,3.7,62.5129189429,1.3,3.1946606292,15.4732024214,647.4,100.0,12.1403092071,0.2695682419,115.2334736766,25.4789127188,6.3411665574,0.8,2156.3074613581,100.0,10787.1341406919,344.6123274134,100.0,Romania
RUS,0.4123351405,28.9706567303,5507.7519986555,4.7165527368,2.0,43.533612793,1.5,1.4232854449,27.4957304766,489.3,91.2,13.6873694269,0.0556211214,46.4244599675,18.7394645999,4.0961687054,1.9,29629.6129345959,96.9,31096.28564629,442.5889074947,98.9,Russian Federation
RWA,0.7669172932,55.4649265905,0.0,28.5714285714,3.6,11.1473626971,1.4,1.3827067669,33.3877107123,1052.0,71.9,64.0727216422,0.1125870673,72.8178312134,31.5170718382,6.0894039735,2.1,792.9247077926,76.1,1110.0945909097,15.3493530277,86.6,Rwanda
KNA,0.8333333333,1.2820512821,909.6396562146816,0.0,2.7593097279398524,0.0,1.7213855002214133,50.8333333333,98.7179487179,1058.2420217989827,98.3,542.6804189492643,0.4481046852,40.1289025945,141.90499097924263,50.8333333333,1.719980453342271,461.1393985974,98.3,461.1393985974,299.7406090883,98.3,Saint Kitts and Nevis
LCA,10.1333333333,70.8624708625,14.3682924942,0.0,3.6,0.0,1.8798167697273054,14.3,29.1375291375,1063.0042829875542,95.6,510.49008145434436,0.0015291117,108.4172623314,71.49362958841232,14.3,2.528791151773534,1657.8799031798,96.3,1657.8799031798,237.0768261547,99.5,Saint Lucia
VCT,0.0,0.0,893.1159973210838,0.0,3.6,0.0235238767,8.131306132188268,7.9,99.9764761233,1060.061574814069,95.1,46146.9982511683,-5.86266531735148,59.835957339,3893.6825529499542,7.9,4.911940451443906,910.5229133091,95.1,910.5229133091,77.4126580895,95.1,Saint Vincent and the Grenadines
WSM,58.3284199273084,52.62332592483044,51.1896474057,0.0,2.7849753913569772,18.46614973178046,1.7870385892821954,60.32054879580944,28.91052529565316,1054.7859311127738,99.3,494.1833284127038,1.3492575877175383,157.7059457988379,89.40181076588954,69.02817036816826,2.092752182329958,-2094.186715076418,99.0,0.0,413.38130644410734,97.5,Samoa
SMR,58.60224921587762,52.95131716842124,1249.7932544888415,22.77665048069938,2.3,18.218852410336552,1.4,61.10906524977716,28.829829122584968,1115.4742639106282,83.59639209501674,483.8155217556571,1.2747859837086621,127.18150363670519,81.84135123583422,68.9010053965327,1.7,14148.74399293193,88.40192428861971,17226.27565451446,441.3750450079913,94.46989802863172,San Marino
STP,1.1743119266,62.5916870416,188.3248265239,0.0,2.8342288894826164,1.466992665,1.8397283597635663,1.876146789,35.9413202934,1094.994985213791,93.6,77.1887323203,0.3018729547,17.1622541392,7.4896411461,1.876146789,2.5028906704690352,10526.8749185133,97.1,10526.8749185133,197.4996257648,98.9,Sao Tome and Principe
SAU,800.0,82.2269807281,30.3330434242,0.0,1.2,4.2826552463,3.5,883.3333333333,13.4903640257,128.6,97.0,292.3302479938,0.8695153698,111.4611308601,28.2709852378,883.3333333333,1.6,72.5049702912,97.0,72.5049702912,705.4129401252,97.0,Saudi Arabia
SEN,5.2989479086,92.9761368753,16.2133889517,33.7952270978,2.5,2.61143629,1.8,5.699127534,4.4124268348,576.0,67.3,74.6918375257,0.0835927079,111.4267315815,6.9448740267,11.8072833599,3.9,1673.2217398199,78.5,2527.3430697977,144.0397474473,92.9,Senegal
SRB,0.4073982737,12.28869507,257.0776481184,39.63304365748185,3.5,75.4467855615,1.0,3.3150431566,12.2645193685,1105.3105165374245,98.9,2.2398312037,0.1222835274,34.2969671268,5.911265871,6.0599571734,1.0,952.1352428438,99.2,18369.9698333837,609.0064043468,99.4,Serbia
SYC,55.43591296102619,6.5693430657,10.3715073949,0.0,2.736461444886051,27.7372262774,1.5960130093041691,65.90664478509541,65.6934306569,1054.7854097366646,95.7,34.9657333695,7.351763313,120.4710234802,89.3230354093,69.24322719637463,1.601611499032643,-2157.5965663253937,95.7,0.0,142.0896513099,95.7,Seychelles
SLE,0.0285625,21.5362865221,29.3786822673,0.0,1.6,26.1545711593,0.6,0.132625,52.3091423186,2546.0,47.8,4.1658164999,0.117383724,13.540215404,8.1976020819,0.4957943925,3.6,21366.3143762044,62.6,21366.3143762044,28.3370744414,84.9,Sierra Leone
SGP,4.396,4.0,13.1218398747,0.0,2.9,51.0,0.8,82.0166666667,45.0,1057.3682521376084,100.63051179237621,214.6313212365,1.6156365430401094,791.628778642,384.5778340718525,82.0166666667,1.0,105.1148721602,100.0,105.1148721602,115.521244504,100.0,Singapore
SVK,0.0630738523,5.6803882797,316.9478147543,74.8502994012,3.8,41.5603091857,0.9,1.1103792415,52.7593025346,762.7,100.0,103.6119541308,2.2166956495,195.1671104311,146.1561716503,2.3937177281,0.6,2312.817782999,100.0,9196.2040419244,102.1127406891,100.0,Slovakia
SVN,0.0122372137,0.4187245008,16.1337395504,41.4182616881,3.5,81.382864505,0.9,2.9224976467,18.1984109942,949.3,99.4,15.7535695313,4.1166691235,163.2471865026,42.5463375848,6.2974983097,1.0,8991.5497733089,99.5,15348.7247603297,448.5661199175,99.7,Slovenia
SLB,65.73745337644951,56.16742783899215,2565.7919757962063,0.0,2.8203204869052216,14.26537529626097,0.9172901655508869,64.4020896878169,29.567200738331195,2945.0,77.2,499.51751205474187,0.9905868028283829,78.35200898190844,66.84664083082788,67.77800637329047,2.6290508845516785,70278.7093244282,80.8,70278.7093244282,532.0852535538713,93.2,Solomon Islands
SOM,22.3197278912,99.4845360825,0.0,59.1836734694,3.8,0.0606428138,2.9,22.4353741497,0.4548211037,408.3,8.8,49.3970316841,0.0326268724,29.8102087888,0.1979975633,24.527740592,1.7,411.2637181297,31.7,1007.5961094178,226.0579570653,69.6,Somalia
ZAF,22.1811100292,58.7719298246,544.1502854354,12.8404669261,2.8,21.1558307534,3.0,37.740993184,20.0722394221,548.3,81.4,18.0534070267,0.165698482,53.5185143394,14.6590967647,62.055715658,2.1,785.8304112019,93.2,900.7230271254,339.9418162744,99.6,South Africa
SSD,0.4848484848,36.4741641337,965.8192463246376,65.7894736842,2.5,34.1945288754,1.5,1.3292929293,29.3313069909,1070.7806130768554,56.9,27.2440644507,0.0289958375,33.5929430887,19.1798047394,4.2260757868,2.5,2382.9680839003,58.7,4536.8046212717,60.3074230464,66.7,South Sudan
ESP,18.2600896861,65.2229625833,1153.6455986384,0.269058296,2.7,19.1119938493,2.3,28.0035874439,15.6650435674,536.0,100.0,36.181404824,0.4982162074,183.4523554532,35.9778306422,42.5685071575,2.1,2383.8398978825,100.0,2390.2711206286,669.1901641394,100.0,Spain
LKA,21.4204545455,87.362892013,281.2377414051,0.0,3.7,6.4189711108,1.6,24.5189393939,6.2181368763,1656.0,95.0,27.5976203893,0.2643931747,61.3045277058,5.8144642479,90.7854137447,3.0,2499.0496038628,95.6,2499.0496038628,612.7404577956,98.5,Sri Lanka
SDN,68.544973545,96.1945424169,520.1723345891,96.1277831559,3.3,0.2784481158,1.4,71.2566137566,3.5270094672,1059.1669710698968,50.2,200.3765464676,0.209490508,53.7414886569,2.6549305465,118.6563876652,3.5,98.0070343079,55.5,926.1664742094,659.9548672707,66.0,Sudan
SUR,0.4354545455,69.9951290794,35057.2133722235,0.0,1.4,22.000324728,1.8,0.6221212121,8.0045461926,1848.0,88.4,10.5621958035,1.0853690959,47.6840148535,6.9003118703,3.950609365,2.6,173533.206192506,94.8,173533.206192506,1079.5868857976,98.1,Suriname
SWE,0.0431034483,3.1578947368,3630.4268111447,1.724137931,0.4,56.6315789474,1.5,1.3649425287,40.2105263158,700.4,100.0,76.9465134506,3.7509934289,373.9866351715,194.0764722893,3.4271284271,1.2,17264.1893463596,100.0,17567.069861208,239.7804075883,100.0,Sweden
CHE,0.2992523364,9.2340523705,395.4088812844,24.4859813084,3.2,37.0688660745,0.8,3.241,53.697081555,1450.0,100.0,254.7975192723,4.1571682871,550.6054581553,390.4934881887,6.613,0.8,4777.7834017912,100.0,6327.0151484117,205.0425955947,100.0,Switzerland
SYR,87.3110344007,87.5277439679,1149.4133195536,72.3587318812,2.7,3.6717500776,1.8,83.1115343411,8.8005059545,375.8,87.2,9.0504750205,0.1020868262,6.3518576137,0.9806607269,124.360138926,2.9,417.1814653973,90.1,982.821506114,980.3881425469,92.3,Syrian Arab Republic
TJK,47.6494751255,90.823676793,3322.5348604344,17.3375016282,3.7,3.5476911299,2.1,47.5572797809,5.6286320771,338.6,66.7,5.9549794358,0.1651493195,5.7606214785,0.6855031497,68.7412587413,3.6,7146.1807233746,73.8,2467.2678797532,1294.4203936188,93.1,Tajikistan
THA,11.8077563211,90.3744808572,1144.7929130278,48.8132965505,3.7,4.8459149129,1.0,13.0655935797,4.7796042299,1724.0,98.0,50.0721319626,0.3674052432,93.6442537907,7.2343182064,23.0139351833,3.5,3243.9042962262,97.8,6337.3963893269,828.0040069464,97.6,Thailand
TLS,13.0371272063,91.3822525597,1056.2883105335145,0.0,2.2,0.1706484642,2.7,14.2665855143,8.4470989761,1080.289881093778,60.5,647.3100794462,0.0649788516,12.6163484493,2.2297192879,28.2682103232,3.6,6607.6389615028,71.9,6607.6389615028,942.6844629192,95.2,Timor-Leste
TGO,0.5170068027,34.0807174888,223.0921348828,21.768707483,3.1,2.8251121076,1.3,1.5170068027,63.0941704036,1071.0,44.2,99.5769791815,0.0100917868,16.7821612788,13.4051660832,3.391634981,3.0,1493.8025380095,63.1,1909.4693311947,28.9667796501,91.4,Togo
TKL,58.70600672837895,52.64548407437833,865.3415221040442,0.0,2.7605983372647045,18.459873894956644,1.7876288651567358,60.3853908636983,28.894642918496473,1054.7293886942175,100.0,493.072020094244,1.3350738934421322,158.35903482077214,89.58635709793185,68.92268606458198,2.1022735125864727,-1777.0026627878478,100.0,0.0,414.12812628524665,98.90110794564492,Tokelau
TON,58.695775113952905,52.63411827545687,865.3408622409642,0.0,2.760716805803271,18.47155580424146,1.788302184020333,60.285953995177024,28.894326786290762,1054.729401764738,99.6,493.53687336439685,1.3348906744007867,158.06900808121446,89.49396131617334,68.87428039971532,2.1053690009716663,-1777.025725771085,99.6,0.0,414.1281130623955,99.7,Tonga
TTO,0.4348958333,4.3580375783,51.6379720807,0.0,2.2,33.6377870564,1.2332980309154145,8.7552083333,62.0041753653,1839.0,95.1,64.8699874008,2.9631700242,59.0695928463,58.5755782246,20.3264812576,1.7653591400960011,2774.4481991013,95.1,2774.4481991013,276.8668098687,95.1,Trinidad and Tobago
TUN,81.7551462622,77.3948717949,235.3952348387,9.1007583965,2.6,19.7948717949,2.0,103.315276273,2.8102564103,326.1,93.2,10.142413242,0.190253599,202.0881513607,7.8341194552,121.0674656578,1.6,366.9061016878,97.7,403.6404432156,426.3807498756,100.0,Tunisia
TUR,23.6531190926,84.8823010651,1945.6728182878,1.5184381779,2.6,4.9148633064,1.5,28.3601134216,10.2028356285,614.5,100.0,88.9606809664,0.3019343632,87.9615056899,13.603152543,44.5740176781,2.6,2798.4459379078,100.0,2608.5954205343,726.9055783383,100.0,Turkey
