Code,Agricultural water withdrawal as % of total renewable water resources,Agricultural water withdrawal as % of total water withdrawal,Dam capacity per capita,Dependency ratio,Flood occurrence (WRI),Industrial water withdrawal as % of total water withdrawal,Interannual variability (WRI),MDG 7.5. Freshwater withdrawal as % of total renewable water resources,Municipal water withdrawal as % of total withdrawal,National Rainfall Index (NRI),Rural population with access to safe drinking-water (JMP),SDG 6.4.1. Industrial Water Use Efficiency,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,SDG 6.4.1. Services Water Use Efficiency,SDG 6.4.1. Water Use Efficiency,SDG 6.4.2. Water Stress,Seasonal variability (WRI),Total internal renewable water resources per capita,Total population with access to safe drinking-water (JMP),Total renewable water resources per capita,Total water withdrawal per capita,Urban population with access to safe drinking-water (JMP),Country
AFG,30.6138068269,98.169627299,55.3502795189,28.7226001512,3.7,0.8319875914,2.5,31.0454615031,0.9983851096,185.0,47.0,28.2292887814,0.1205568988,57.1486222951,0.9237777733,54.7570194384,2.5,1299.0371723826,55.3,1799.9172528474,561.2970182234,78.2,Afghanistan
ALB,2.9966887417,63.7413720242,1397.2828915365,10.9271523179,2.7,16.3262431328,1.2,3.9337748344,19.9323848429,1136.0,95.2,9.331023806,1.2202894152,21.8522385675,6.6569071373,7.1394230769,2.4,9326.7766209262,95.1,10470.9536785119,492.2735110183,94.9,Albania
DZA,57.1783663324,63.7640986427,208.2488255568,3.5998971458,2.8,1.8256547505,2.3,84.0147424359,34.4102466068,241.5,81.8,329.8714798181,0.6183399143,23.0687866439,14.3546195882,137.9203602082,1.9,271.7376269441,83.6,281.8852043706,252.7713215159,84.3,Algeria
AND,57.771077578778815,53.09641316860762,996.1771356587451,20.866262072627194,3.3,18.168755611000805,1.5,60.12262581214517,28.73483047267098,1071.311544331408,100.0,466.48988648123134,1.3310969094505634,146.63270938117194,86.300425732854,69.03380853793128,1.6,4098.6480695056,100.0,4098.6480695056,422.6804014615815,100.0,Andorra
AGO,0.0988544474,20.7849249079,316.7751324875,0.269541779,1.7,33.9472938509,2.5,0.4755390836,45.2677812411,1137.0,28.2,196.79070911,0.2479818478,167.0308793114,142.4678361857,1.8718832891,3.1,4963.6503167379,49.0,4977.0655878642,23.6712459024,75.4,Angola
ATG,3.4615384615,15.652173913,52.616687276,0.0,3.6,21.7391304348,1.5977584231258684,8.4615384615,62.6086956522,1058.9833000853735,97.9,88.3892972031,1.869824499,144.2791448419,109.8390234755,8.4615384615,1.7377871944295324,544.9248632448,97.9,544.9248632448,120.5122293714,97.9,Antigua and Barbuda
ARG,3.1874828814,73.928004235,2994.365700635,66.6757965854,2.5,10.5876124934,2.4,4.3013329681,15.4843832716,1062.0,100.0,32.6395950352,0.1182923643,65.0549562883,13.6165637946,10.4566640772,1.8,6645.8581509857,99.1,19943.0368021223,859.8647977542,99.0,Argentina
ARM,27.3780409319,74.2201130574,470.9706053842,11.7132192045,3.3,4.2710586922,1.4,36.8773329901,21.5088282504,352.1,100.0,19.7188700513,0.3006164251,10.2060262081,3.2605190122,57.7970546702,2.4,2329.1975559556,100.0,2638.2177886308,973.1760250558,100.0,Armenia
AUS,2.1341463415,63.428778543,3164.0228728368,0.0,2.7,16.0807055697,3.2,3.2408536585,20.4905158874,717.1,100.0,106.2610897469,0.4699458481,267.9002193823,72.2797509034,6.4113389626,2.0,20012.5118875134,100.0,20012.5118875134,673.3478085079,100.0,Australia
AUT,0.0992277992,2.2078405544,241.2385354439,29.2149292149,3.3,77.1741931789,0.9,4.4916344916,20.6179662667,1126.0,100.0,33.9898804513,3.3647163088,360.9824208953,100.732937341,9.6435479414,0.7,6235.8976591687,100.0,8809.6226930438,395.9341493742,100.0,Austria
AZE,26.7339581831,72.5261313138,2188.0853034741,76.5969718818,3.0,23.9563121988,1.4,36.8611391492,3.5175564875,459.7,77.8,8.1219134496,0.2236419786,44.2796502836,3.6654715287,56.4433649812,2.0,824.2494911288,87.0,3521.9779550081,1298.2411948012,94.7,Azerbaijan
BHS,62.14738340470268,52.74525625292911,942.1194704500839,0.0,2.717834967959429,18.27200578023175,1.5593105551150606,60.724850251555715,28.982739525390116,1320.0,98.4,502.38893299946955,1.3595223683307753,290.5811544686,151.67378419768298,68.66363301734012,2.0354384526887492,1833.6367565585,98.4,1833.6367565585,418.88437954974256,98.4,Bahamas
BHR,124.7413793103,33.3103130755,0.0,96.5517241379,0.0,3.2458563536,3.1,133.7068965517,63.4438305709,1057.1648341451994,100.0,948.6757614276,0.6213942861,71.2659979648,76.2135198629,133.7068965517,0.3,2.6772399798,100.0,77.639959413,290.7482618019,100.0,Bahrain
BGD,2.5671702123,87.8171173683,40.5609969762,91.4427659588,4.9,2.1466406468,0.7,2.9233141434,10.0362419849,2309.0,87.0,76.684806136,0.7455270943,34.0201760685,5.7151948158,5.7233394816,3.6,657.542794889,86.9,7684.0576256979,224.6291433588,86.5,Bangladesh
BRB,68.5,67.6543209877,905.5657590348843,0.0,3.6,7.6543209877,1.7632341186086848,87.5,24.6913580247,1057.5620349504757,99.7,82.5368106445,0.9119304489,182.9075044996,52.0969395628,87.5,2.308416137483797,279.4935576735,99.7,279.4935576735,282.9872271444,99.7,Barbados
BLR,0.7443868739,30.85182534,328.0343094259,41.2780656304,2.6,31.7108088762,1.1,2.4127806563,37.4373657838,615.7,99.1,35.1418820482,0.0659447779,55.7285284788,32.0274132721,4.6044825313,0.9,3597.7956517677,99.7,6126.834359922,147.82707428,99.9,Belarus
BEL,0.2459016393,1.1266900351,12.6360056281,34.4262295082,2.8,80.3705558338,1.0,21.825136612,18.5027541312,1070.0,100.0,25.4668315183,0.7948534201,462.6053234475,106.0715151741,49.0663390663,1.4,1050.8112788478,100.0,1602.487200243,349.7450206432,100.0,Belgium
BLZ,0.3147142726,67.7227722772,323.8691855901,29.7874298334,2.6,20.9900990099,1.1,0.4647096715,11.2871287129,2013.0,100.0,8.6198148325,0.1455672123,100.7811275477,13.2831854041,1.2602944847,2.2,40610.0556458888,99.5,57838.7253871394,268.7821507362,98.9,Belize
BEN,0.2235695339,25.2136752137,2.1028710185,60.9700644183,3.6,12.8205128205,1.2,0.4926108374,61.9658119658,959.5,72.1,64.6204297392,0.3265373411,30.492457357,27.2619013336,0.975243811,3.0,921.6838932071,77.9,2361.4794118189,20.9392263117,85.2,Benin
BTN,0.4076923077,94.0828402367,0.0,0.0,4.7,0.8875739645,0.6,0.4332051282,5.0295857988,2609.0,100.0,212.2096371155,0.5392355045,68.9853849619,5.8605246927,1.4138075314,3.5,104618.925563634,100.0,104618.925563634,453.3486774424,100.0,Bhutan
BOL,0.3344947735,91.9540229885,53.1647466174,47.1254355401,3.1,1.5325670498,2.5,0.3637630662,6.5134099617,1503.0,75.6,271.4587801794,0.2530417391,134.1179243038,13.1286201198,1.1770011274,3.1,27115.5125300917,90.0,51282.7156252806,186.5475787902,96.7,Bolivia (Plurinational State of)
BIH,-9.2508791361374,53.070659147549975,868.9775549936,5.3333333333,3.6,18.357007058400157,1.0,1.0690666667,28.572331320245084,1019.0,100.0,45.8262145249,1.3505795674569692,28.9812879695,-2.309919074239173,2.6620185923,1.3,10592.1931061233,99.9,11188.9363797077,433.83422639224597,99.7,Bosnia and Herzegovina
BWA,0.5637254902,35.7512953368,503.2493152176,80.3921568627,2.1,12.1243523316,3.8,1.5767973856,52.1243523316,430.4,92.3,190.8515471855,0.0857270512,92.4700101914,71.3695564556,2.0181951271,2.4,1088.3958858636,96.2,5550.8190179041,87.5251691549,99.2,Botswana
BRA,0.4559962993,60.0325817207,3370.1728134982,34.5322077021,3.1,14.480595606,1.7,0.759569793,25.4868226732,1934.0,87.0,30.629535689,0.2904017794,68.2739195823,22.0105277007,3.1054373522,2.5,27238.107437402,98.1,41605.3550629245,316.0265208613,100.0,Brazil
BRN,0.0623529412,5.7608695652,106.0444362775,0.0,2.3,-70.4347813697197,0.9,1.0823529412,164.6739130435,3564.0,80.74908202367631,550.6936579749142,3.9540191288,35.2647291872,237.34654288890266,3.4664657121,1.0,20024.8307901798,91.13265169881545,20024.8307901798,216.7393450231,98.51483560251094,Brunei Darussalam
BGR,3.9178403756,14.747724662,917.768587827,1.4084507042,3.2,69.6651055934,1.2,26.5633802817,15.5871697446,543.3,99.0,2.7271985632,0.0920039043,38.5997255524,7.9300789841,41.8212728213,1.1,2956.7286978961,99.4,2998.9676792946,796.6975874783,99.6,Bulgaria
BFA,3.1162962963,51.4303178484,278.0965274013,7.4074074074,3.3,2.6528117359,1.5,6.0496296296,45.9168704156,759.0,75.8,146.8388122144,0.0566505755,15.717323607,11.1413959279,7.8078393881,4.0,651.271171914,82.3,703.3728656671,42.6191854901,97.5,Burkina Faso
BDI,1.7708998086,79.2574080685,921.9288005969764,19.7511167837,3.3,5.3552302749,1.4,2.2343650287,15.3873616566,997.8,73.8,32.0431239054,0.0527679829,28.4926872654,6.1420784432,10.19286754,2.4,929.1569544673,75.9,1157.8440935589,25.8704635135,91.1,Burundi
CPV,8.3333333333,92.5925925926,0.0,0.0,2.3276150846234787,1.4814814815,2.1832855599072287,8.4333333333,5.9259259259,144.0,87.3,680.234744361,0.3113567487,690.3222950515,51.273832909,8.4333333333,2.3723231373233458,558.1416116897,91.7,558.1416116897,50.2327450521,94.0,Cabo Verde
KHM,0.4312119303,94.0018315018,0.0624632677,74.6691871456,3.9,1.510989011,0.6,0.4587271582,4.4871794872,2348.0,69.1,189.7418656386,0.3397207109,84.9848892464,6.9997469468,1.0365448505,3.1,7533.0700839737,75.5,29738.7617494187,136.4197766451,100.0,Cambodia
CMR,0.2602860675,67.7140757075,635.4545555572,3.5846724351,2.2,9.6104373392,0.9,0.3843898993,22.6754869533,1694.0,52.7,76.5815259375,0.0434508433,72.6163987937,23.855363935,1.5604301075,3.5,11112.887273436,75.6,11526.0587233458,44.3050055253,94.8,Cameroon
CAN,0.0909372846,7.4135460853,22909.2759343021,1.7918676775,1.9,78.8549596876,1.2,1.2312198484,13.731494227,693.6,99.0,12.9707672843,0.3959075798,228.906264524,41.6896946026,3.6797116375,1.6,77588.8225270026,99.8,79004.4782362672,969.0980054364,100.0,Canada
CAF,0.0002836879,0.5517241379,1626.8055398184456,0.0,2.3,16.5517241379,1.2,0.0514184397,82.8965517241,1331.0,54.4,37.163697477,0.1173868239,12.8843002084,16.8325209238,0.3356481481,3.6,30678.6976479448,68.5,30678.6976479448,15.7745076559,89.6,Central African Republic
TCD,1.4708971554,76.4211005002,932.8278197341174,67.1772428884,3.0,11.7894497499,1.9,1.924726477,11.7894497499,648.2,44.8,21.4151002615,0.0396892593,49.2328804069,8.359339149,4.294921875,3.8,998.8843793329,50.8,3043.2677423675,58.5745800041,71.8,Chad
CHL,3.1872250991,83.0346306906,715.5130422184,4.1232422594,2.5,13.3894047585,2.9,3.8316035794,3.5760654812,2483.0,93.3,14.1007726915,0.2483639343,120.6444373293,6.4085616838,8.982121089,3.5,47914.3998688932,99.0,49974.9897660797,1918.2543522653,99.7,Chile
CHN,13.5623296787,64.4039458285,571.6959714353,0.9618973178,3.5,22.3206821602,1.8,20.8364140806,13.2753720114,1049.0,93.0,38.8823119366,2.0502054501,82.7769787603,20.9881623416,43.2216882605,2.7,1936.4251114446,95.5,1955.2324398405,411.7373028387,97.5,China
COL,0.2708050847,46.9546690177,230.6760813504,9.1101694915,3.7,27.4043053413,1.3,0.5763519361,25.641025641,2862.0,73.8,19.1935769743,0.423221049,52.9287225058,19.0300557919,2.036213427,1.5,43856.2065191014,91.4,48252.050062974,278.287565003,96.8,Colombia
COM,0.3916666667,47.0,932.357207312896,0.0,1.6,5.0,1.1360035466845437,0.8333333333,48.0,2304.0,89.1,248.1332852506,0.0920654019,118.7779455701,69.4633488751,0.8333333333,2.5363438156684204,1474.3970944548,90.1,1474.3970944548,12.2866424538,92.6,Comoros
COG,0.0004807692,4.3620501636,1.7610129346,73.3173076923,1.7,26.1723009815,0.8,0.0055288462,69.465648855,1653.0,40.0,167.6204300257,0.2285613586,76.7564484182,97.1994583456,0.0274463007,1.8,43438.3190544535,76.5,162795.862402276,17.9427651229,95.8,Congo
COK,58.71041522585901,52.630920133838934,865.3414939012009,0.0,2.7606056857841685,18.468648006317537,1.7872428885423854,60.27704095339171,28.900432734165875,1054.729403727266,99.9,493.0099878294637,1.3351128116343687,158.4252932607364,89.56256593663431,68.86954067037766,2.1022471082028247,-1777.0073375424677,99.9,0.0,414.12812025135014,99.9,Cook Islands
CRI,2.0371681416,72.0726361929,403.3714252698,0.0,3.1,7.5140889167,1.0,2.8265486726,20.4132748904,2865.0,91.9,40.081428433,0.4046561087,64.0817802129,16.3845904461,5.4505119454,2.4,22828.4949718725,97.8,22828.4949718725,645.2585215943,99.6,Costa Rica
HRV,0.0720379147,10.6293706294,229.9863466525,64.2654028436,3.0,25.7342657343,1.0,0.6378199052,63.6363636364,824.2,99.7,49.9528775493,0.6472322309,72.3559013251,58.9684674427,1.4959982214,1.2,9012.9784498968,99.6,25221.9953969261,170.9357981877,99.6,Croatia
CUB,11.8546694648,64.9374910188,499.3392863411,0.0,3.0,10.6337117402,2.3,18.2528856243,24.428797241,1103.0,89.8,27.5239903857,0.1979433365,37.9788659056,12.3331413799,23.9394460692,2.3,3361.7731819042,94.9,3361.7731819042,613.7088030659,96.4,Cuba
CYP,23.5897435897,59.1639871383,282.8788872896,0.0,0.0,5.4662379421,2.1253865684183784,27.6923076923,35.3697749196,344.3,100.0,121.8310344721,0.7583477118,150.7143889274,60.4155831093,29.5243302351,2.1512926815260474,661.1973775895,100.0,661.1973775895,263.6312620902,100.0,Cyprus
CZE,0.3543726236,2.8581943081,299.2472348082,0.0,3.2,59.3228655545,1.3,12.3954372624,37.8189401374,707.1,100.0,60.9182564348,1.2202578751,188.4611906301,107.4473575707,24.7871046229,0.6,1235.7821617711,100.0,1235.7821617711,153.2181928937,100.0,Czechia
CIV,0.7130972189,51.6351118761,1524.0489297787,8.6760161635,2.3,20.82616179,1.1,1.381031614,27.5387263339,1187.0,68.8,36.5888403386,0.2167606537,56.0496013653,23.1673220233,5.0875656743,2.8,3144.3516861606,81.9,3443.0732804992,47.5499304961,93.1,Côte d'Ivoire
PRK,8.5677252106,76.3473399709,834.7035813263,13.1561892417,3.0,13.2250687242,1.3,11.2220349968,10.427591305,1067.164591637885,99.4,5.7680866905,0.371973227,6.6382955683,1.7390394246,27.7404677988,3.8,2634.7015758072,99.7,3033.8392025899,340.45849706,99.9,Democratic People's Republic of Korea
COD,0.005604053,10.517846694,0.6494938916,29.8519095869,1.9,21.4745465184,1.2,0.0532813718,68.0076067876,1571.0,31.2,104.2548819544,0.199548416,32.6494198938,44.6133404193,0.2268835048,2.3,11056.6789441668,52.4,15761.9100948511,8.398161918,81.1,Democratic Republic of the Congo
DNK,5.445,44.083119687,3.4890167497,0.0,0.0,4.4393469167,1.0,12.3516666667,51.4775333963,694.0,100.0,1807.1294338576,2.2020853819,558.3356279741,368.6129020919,20.0405624662,1.3,1046.7050249168,100.0,1046.7050249168,129.285515661,100.0,Denmark
DJI,1.0,15.7894736842,906.8076027463383,0.0,2.9,0.0,4.3,6.3333333333,84.2105263158,107.4,64.7,546.3419236197095,13.0777470961,144.5892289376,154.88087216612936,6.3333333333,2.0,317.7632854182,90.0,317.7632854182,20.1250080765,97.4,Djibouti
DMA,0.5,5.0,965.1252752216443,0.0,3.6,0.0,1.7696325524156702,10.0,95.0,1066.6816462133672,91.8,541.7842111627965,0.0040596973,17.4091045627,120.35609724743142,10.0,1.840612141783895,2798.8468750875,94.4,2798.8468750875,279.8846875087,95.7,Dominica
DOM,32.1829787234,83.3122197865,215.5119934132,0.0,3.7,7.2693023717,2.5,38.6293617021,9.4184778418,820.9,81.9,28.8567380573,0.2051850219,55.6092150155,7.5061693346,50.3097982709,1.5,2235.3055767355,84.7,2235.3055767355,863.484276385,85.4,Dominican Republic
ECU,1.8254972875,81.427707199,458.2445382021,0.0,3.2,5.5353901996,2.9,2.2413652803,13.0369026013,2575.0,75.5,56.2733085668,0.6764275871,41.1383101452,9.0289081079,6.7823529412,2.8,26356.2993968375,86.9,26356.2993968375,590.8720104381,93.4,Ecuador
EGY,106.6956521739,79.1612903226,1744.0090758242,98.2608695652,2.5,6.9677419355,1.4,111.652173913,13.8709677419,106.6,99.0,20.141636108,0.646655587,17.7637395308,4.3793207123,116.9398907104,2.5,10.3688628606,99.4,596.2096144845,803.5868716966,100.0,Egypt
SLV,5.4472782642,67.5637393768,607.220333475,40.5024743053,3.8,10.0566572238,1.5,8.0624286258,22.3796033994,1434.0,86.5,25.0151591616,0.0438929116,33.266264834,9.990202639,13.2127261385,3.5,2446.7269430816,93.8,4112.3171333815,331.5526337458,97.5,El Salvador
GNQ,0.0038461538,5.0505050505,1385.21573380332,0.0,0.0,15.1515151515,0.8,0.0761538462,79.797979798,2447.0,31.5,2136.603056402,0.9677596072665228,317.1616864011,377.66460461570165,0.1835032437,2.5,20602.1860504183,47.9,20602.1860504183,15.6893570692,72.5,Equatorial Guinea
ERI,7.5187969925,94.5017182131,12.9245188759,61.7224880383,2.5,0.1718213058,4.3,7.956254272,5.3264604811,333.0,53.3,1051.0639470677,0.0311051563,94.576102546,6.872905433,11.1751152074,3.8,820.4183371703,57.8,2143.3429058573,170.5298115118,73.2,Eritrea
EST,0.0351397782,0.2521149644,138.3214970555,0.7496486022,1.1,96.4199675052,2.1,13.9309698579,3.3279175304,621.4,99.0,2.9660449376,0.1109954721,269.2880893898,11.8218249353,19.3073593074,1.2,9633.2396031499,99.6,9706.0005002312,1352.8221375029,100.0,Estonia
SWZ,22.3059866962,94.1947565543,520.0812585293,41.4634146341,3.1,1.9382022472,4.2,23.6807095344,3.8670411985,648.0,68.9,66.1535301757,0.1071637812,55.5794130332,3.5324106712,77.559912854,2.8,2347.0734927387,74.1,4009.5838834287,949.4979129716,93.6,Eswatini
ETH,7.9401639344,91.8364444782,295.902466998,0.0,3.2,0.484447436,1.8,8.6459836066,7.6791080858,1073.0,48.6,331.9869227906,0.0826178202,34.2926873442,4.3175479307,32.2571865443,3.3,1146.6173603658,57.3,1146.6173603658,99.1363490072,93.1,Ethiopia
FRO,58.33789143973593,52.733173656131875,865.311823162538,0.0,2.7653994832563122,18.514655078675645,1.8342528418188024,60.61980371647712,28.752171712281765,1054.7292887748883,84.13502122887745,517.920694119228,1.3249684916649278,142.49386560458038,86.39699584695265,68.86341425764968,2.243217746815504,-1777.865790911119,88.86590401312273,0.0,414.12776968617106,94.26315959173209,Faroe Islands
FJI,0.1751313485,58.8928150766,151.6150612165,0.0,2.9594802773478532,11.3074204947,1.0786456941426155,0.2973730298,29.7997644287,2376.0,91.2,72.2703071056,0.2995036692,109.4015813796,40.9497071917,0.2973730298,2.5596577270010608,32537.1327891104,95.7,32537.1327891104,96.756657576,99.5,Fiji
FIN,0.0454545455,2.6780931976,3375.3851809287,2.7272727273,0.2,75.8971612212,1.9,5.9654545455,21.4247455811,518.3,100.0,38.0423450724,0.364372214,387.037926862,111.8047093322,15.5608252312,1.2,19414.4070504417,100.0,19958.7362200803,338.7541865717,100.0,Finland
FRA,1.4753554502,11.7747182086,153.9314279156,5.2132701422,2.5,68.651183902,1.2,12.5289099526,19.5740978894,818.0,100.0,20.9417577994,1.6365436447,352.7879286475,83.6245175571,23.1427821063,1.5,3084.3963795417,100.0,3254.0381804165,407.7263574116,100.0,France
GAB,0.0242771084,28.9719626168,106.5466628374,1.2048192771,0.7,10.1365923796,0.9,0.0837951807,60.8914450036,1842.0,66.7,462.6100896406,0.2361231651,78.5472607791,94.789870708,0.502166065,2.1,79425.6941151857,93.2,80394.3001409806,67.366549094,97.2,Gabon
GMB,0.49,38.5826771654,942.3702653419593,62.5,1.5,20.8661417323,2.0,1.27,40.5511811024,598.4,84.4,11.3876525628,0.0600258712,19.6333547529,10.3608805542,2.2096563723,4.6,1355.0814878253,90.2,3613.5506342007,45.8920930543,94.2,Gambia
GEO,1.675065663,58.1908439051,851.6193214985,8.2109584715,3.6,22.0628792057,1.1,2.8785725565,19.7462768891,1140.0,100.0,7.0257171157,0.3919257576,28.2189310978,7.3503286561,5.9381107492,1.9,14500.9025333798,100.0,15798.0759924125,454.7590799648,100.0,Georgia
DEU,0.1946103896,1.226383825,48.3919306988,30.5194805195,2.9,80.8177528982,1.1,15.8720779221,17.9558632768,835.5,100.0,44.4499170579,3.3516893522,515.7246358968,128.5673392139,33.5019188596,0.8,1294.4841461926,100.0,1863.0893319033,295.6468712094,100.0,Germany
GHA,1.9039145907,73.0574900997,5099.4814306217,46.0854092527,3.0,6.4864126724,1.4,2.5775800712,20.4560972279,1112.0,84.0,162.9373772874,0.1418367035,82.6409914241,27.5775345799,6.3147340889,3.0,1040.4696329666,88.7,1929.8479660965,50.2927994866,92.6,Ghana
GRC,13.2178362573,80.433796251,1165.8127906372,15.2046783626,2.4,1.8531533856,1.7,16.432748538,17.7130503634,597.8,100.0,114.1795651929,0.4403546609,71.7890767977,15.1861517774,22.73922719,2.5,5487.5135413858,100.0,6471.4814867377,1063.4706630903,100.0,Greece
GRD,1.05,14.8936170213,0.1984234356,0.0,2.792690221379091,0.0,1.7486696704892846,7.05,85.1063829787,1063.563097494524,95.3,539.4812774178599,2.4617273218,62.7512451457,124.37168917005854,7.05,1.9178287506334928,1803.8494146509,96.6,1803.8494146509,127.1713837329,99.0,Grenade
GTM,1.4744742397,56.7371619386,27.4218700358,14.6274724416,3.5,18.1432568214,1.0,2.5987803925,25.11958124,2216.0,86.8,25.6713835027,1.0655686342,52.1733047957,18.3679141238,5.7420970807,3.1,6455.8199039076,92.8,7561.9406951357,196.5182320749,98.4,Guatemala
GIN,0.1296017699,51.0367659871,152.2268164649,0.0,1.1,9.7926468026,0.9,0.2539823009,39.1705872103,1638.0,67.4,61.1097433969,0.0691435976,20.9623441376,14.2306232806,0.8830769231,4.0,18727.9589118526,76.8,18727.9589118526,47.5574142456,92.7,Guinea
GNB,0.4585987261,75.7894736842,0.0,49.0445859873,1.0,6.2631578947,1.5,0.5573248408,17.9473684211,1223.0,60.3,11.8564491581,0.110060119,11.5090168719,2.891567776,1.4957264957,4.6,8752.0410033121,79.3,17175.880469,103.9304869143,98.8,Guinea-Bissau
GUY,0.5029520295,94.344846681,1043.7655278101,11.0701107011,2.4,1.4120578667,1.6,0.533099631,4.2430954523,2177.0,98.3,51.1875220617,0.169910083,24.6529518224,1.929147117,3.2984018265,2.1,310878.690233249,98.3,349577.282378467,1863.5952024065,98.2,Guyana
HTI,8.622165169,83.3793103448,27.0433529533,7.2386250178,3.9,3.5172413793,2.4,10.3408928826,13.1034482759,1226.0,47.6,51.5187443226,0.2042398556,22.2197497624,4.8938857936,13.3837917667,1.9,1184.3531712565,57.7,1276.774057612,132.0298376506,64.9,Haiti
VAT,57.36685569514917,52.790822217511234,865.2887755599086,23.243378161811087,2.9,18.47789893201113,1.4,60.468706151242344,28.73127786079317,1054.7274833413812,84.36090534977492,499.1914777517241,1.326313485685184,134.9948021631364,86.20235957926596,68.99995962381156,2.0,-1779.6888753915798,88.53900800487867,0.0,414.12628787411705,94.14755323790425,Holy See
HND,1.27815633,73.304293715,615.6165019605,1.6318736166,3.6,7.0939639079,1.3,1.7436309188,19.6017423771,1618.0,83.8,47.2438999108,0.2053505331,43.3012402962,11.9897935352,4.621268764,2.9,9615.0042427558,91.2,9774.5119239946,170.4314120683,97.4,Honduras
HUN,0.4986538462,11.5216280465,26.3519696093,94.2307692308,3.5,74.6039856924,1.1,4.3259615385,13.8743862611,587.5,100.0,9.2313061519,0.3316862677,122.2040723776,23.8802030073,7.7702936097,0.6,616.6607552881,100.0,10688.7864249946,462.6086209379,100.0,Hungary
ISL,0.0001764706,0.107797341,6896.3764193628,0.0,0.1,71.1462450593,1.0,0.1705882353,28.7459575997,923.4,100.0,15.2944018835,0.7028322072,165.0904779043,58.3389890583,0.394075282,0.8,508383.847748009,100.0,508383.847748009,832.2542636957,100.0,Iceland
IND,36.0039771835,90.4073587385,184.8561633703,30.5208533538,3.9,2.2339027595,1.7,33.884557015,7.358738502,1502.0,92.6,35.1670186908,0.4088518168,22.6309675941,2.8205828554,66.4920928322,4.2,1080.1711183779,94.1,1427.4543500058,568.4717988144,97.1,India
IDN,9.3971367712,85.2067285018,90.6882624871,0.0,3.1,4.1031284389,1.1,11.0286322881,10.6901430593,2929.0,79.5,39.6456404805,0.2391529797,17.9109391203,3.7451909947,29.6965452848,1.9,7627.7825597786,87.4,7627.7825597786,841.2400902543,94.2,Indonesia
IRN,62.7531102922,92.1757770632,550.8820246076,6.7725904161,3.2,1.1789924973,2.3,67.8244372286,6.6452304394,207.1,92.1,129.2750653299,0.3744897678,43.7083114334,4.7738501906,81.2890812891,1.8,1592.8327139032,96.2,1698.7529904814,1156.5081105616,97.7,Iran (Islamic Republic of)
IRQ,39.2499443579,91.4915693904,4042.3104749552,60.827954596,2.4,5.317769131,1.6,42.8867126641,3.1906614786,225.0,70.1,42.5966437121,0.0868635616,75.0887849747,4.7404929428,54.1264044944,2.5,937.3473565114,86.6,2392.8986777304,1026.5551304975,93.8,Iraq
IRL,0.3442307692,20.7897793264,182.8211640848,5.7692307692,2.2,5.9233449477,0.8,1.4557692308,73.2868757259,1202.0,97.8,2206.2863936114,0.0945631829,298.9095285674,349.7670678397,3.6429258903,1.8,10308.6732337824,97.9,10939.8164929936,181.1381153936,97.9,Ireland
ISR,70.1685393258,54.2100694444,901.90301493684,57.8651685393,2.9,3.125,2.7,67.3033707865,42.6649305556,391.6,100.0,794.4120746956,1.4752940627,234.4119526855,125.6368320973,103.3560521094,3.0,90.9769321317,100.0,215.9185855926,279.4811355086,100.0,Israel
ITA,8.8865656038,49.725049725,165.6005787417,4.6001045478,2.6,22.5225225225,1.4,17.7970203868,27.7524277524,830.2,100.0,46.5288732851,0.9172700349,137.1400133025,48.9952720575,29.9988545246,1.5,3007.8929913967,100.0,3152.931119201,563.4731265198,100.0,Italy
JAM,1.0533123903,8.4194977843,1.8658964794,0.0,3.5,81.2407680945,1.4613642844596086,12.4734362007,10.3397341211,1328.0,89.4,2.1927805096,1.707760683,65.0147691291,8.6475708689,12.4734362007,1.556407976655855,3705.4307516173,93.8,3705.4307516173,463.5640060695,97.5,Jamaica
JPN,12.6581395349,66.8262737876,246.8454693811,0.0,3.0,14.2541436464,1.1,18.8888372093,18.919582566,1578.0,100.0,102.8591893279,0.7420086104,209.5284879285,54.7994685787,37.3434482759,1.7,3372.4769411791,100.0,3372.4769411791,638.8098764164,100.0,Japan
JOR,59.1995731057,53.1270951058,28.0936450748,27.2145144077,3.0,3.1127286658,2.6,96.4354322305,43.7601762283,148.8,92.3,293.4503508956,2.1488110463,56.4580218957,34.9820439571,100.0775279654,2.6,69.6925139715,96.9,95.7505653831,106.694946976,97.8,Jordan
KAZ,13.9470528549,61.8379616376,4421.8371673171,40.6420071949,1.7,28.5632489469,2.3,20.7084217323,9.5987894156,274.5,85.6,8.444551563,0.0400010118,48.951648285,7.13553973,31.1373092926,3.1,3559.1776756429,92.9,5996.1220173496,1352.3768973915,99.4,Kazakhstan
KEN,10.5342019544,80.2083333333,493.522727938,32.5732899023,3.8,7.5148809524,3.2,13.1335504886,12.2767857143,902.1,56.8,33.6975583176,0.2280624075,63.8280281032,10.5512866833,33.2399010717,1.9,412.1770070462,63.2,611.2963341216,80.2849126768,81.6,Kenya
KIR,57.64386344920608,52.86461488120865,865.2521543985017,0.0,2.774838888109295,18.22618715913005,1.9289251901288496,60.88137629198159,28.90919744713223,1054.7291623179638,50.6,567.5354835293767,1.304600766761994,110.28810448584106,80.30283078559222,68.50592501203721,2.532741407345393,-1779.6094340001373,66.9,0.0,414.12703795361296,87.3,Kiribati
