city,latitude,longitude,population,Population with at least some secondary education (% ages 25 and older),Total population (millions),Sex ratio at birth (male to female births),"Foreign direct investment, net inflows (% of GDP)",Population ages 15?64 (millions),Inequality-adjusted education index,Private capital flows (% of GDP),"Life expectancy at birth, female (years)",Exports and imports (% of GDP),Total unemployment rate (female to male ratio),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Official entrance age to lower secondary education (years),"Gross enrolment ratio, lower secondary, female (%)","Gross enrolment ratio, lower secondary, male (%)","Gross enrolment ratio, pre-primary, both sexes (%)","Gross enrolment ratio, pre-primary, male (%)","Gross enrolment ratio, primary, gender parity index (GPI)","Gross enrolment ratio, secondary, gender parity index (GPI)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of primary education, female (%)",Internet users (per 100 people),"Labor force, female (% of total labor force)","Mortality rate, under-5 (per 1,000 live births)",Percentage of enrolment in pre-primary education in private institutions (%),"Percentage of male students enrolled in primary education who are over-age, male (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Percentage of students enrolled in primary education who are over-age, both sexes (%)","Population, female (% of total)","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, both sexes (%)","Primary completion rate, female (%)","Unemployment, male (% of male labor force) (modeled ILO estimate)",Dependency ratio,Industrial water withdrawal as % of total water withdrawal,Interannual variability (WRI),MDG 7.5. Freshwater withdrawal as % of total renewable water resources,SDG 6.4.2. Water Stress,country
Belgrade,45.7796,-111.1751,17743.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Benicia,38.0725,-122.1525,28240.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Berlin,41.6114,-72.7758,20519.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Bern,40.4005,-75.9933,6952.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Birmingham,33.5277,-86.7987,739573.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Blacksburg,37.23,-80.4279,91888.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Bloomington,40.4757,-88.9703,133846.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Bogota,40.875,-74.0293,8335.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Boulder,40.0249,-105.2523,124345.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
Boynton Beach,26.5281,-80.0811,78679.0,96.029,329.065,1.05,1.454,214.68599999999998,0.875,-1.445,81.405,26.389,0.9670000000000001,46.349,12,102.401420593262,101.73087310791,70.8390808105469,71.506233215332,0.997870028018951,1.0091271692200685,73.23645947205264,103.700927734375,74.55420245,45.8459003223034,6.6,40.4449005126953,5.88137006759644,3.9733920454493337,5.44661998748779,50.530032329281504,-1.6679672114454218,91.16935728696235,90.70803380281264,5.400000095367429,8.1785597915,47.1989016183,2.1,14.4801600448,28.1619842696,United States of America
