,Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Share of seats in parliament (% held by women),Vulnerable employment (% of total employment),Urban population (%),"Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male","Remittances, inflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)","Infants lacking immunization, measles (% of one-year-olds)","Infants lacking immunization, DTP (% of one-year-olds)",Gross fixed capital formation (% of GDP),Inequality in education (%),Inequality in life expectancy (%),"Unemployment, youth (% ages 15?24)",Private capital flows (% of GDP),Exports and imports (% of GDP),"Unemployment, total (% of labour force)",Youth not in school or employment (% ages 15-24),Labour force participation rate (% ages 15 and older),Employment to population ratio (% ages 15 and older),Employment in agriculture (% of total employment),Employment in services (% of total employment),Working poor at PPP$3.20 a day (% of total employment),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Gross capital formation (% of GDP),Overall loss in HDI due to inequality (%),Inequality in income (%),"Gross domestic product (GDP), total (2017 PPP $ billions)",GDP per capita (2017 PPP $),Gross national income (GNI) per capita (constant 2017 PPP$),"Estimated gross national income per capita, female (2017 PPP $)","Estimated gross national income per capita, male (2017 PPP $)",Gender Inequality Index (GII),Inequality-adjusted education index,Inequality-adjusted life expectancy index,Life expectancy index,Income index,Education index,Human Development Index (HDI),Gender Development Index (GDI),"Human Development Index (HDI), female","Human Development Index (HDI), male",Inequality-adjusted income index,"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Expected years of schooling, female (years)","Expected years of schooling, male (years)",Total population (millions),Population ages 15?64 (millions),Population ages 65 and older (millions),Population under age 5 (millions),"Adolescent birth rate (births per 1,000 women ages 15-19)",Sex ratio at birth (male to female births),Young age (0-14) dependency ratio (per 100 people ages 15-64),Old-age (65 and older) dependency ratio (per 100 people ages 15-64),HDI rank,Total unemployment rate (female to male ratio),Youth unemployment rate (female to male ratio),Coefficient of human inequality,Inequality-adjusted HDI (IHDI)
GUY,64.18,70.92,56.44,31.884,25.513,26.7,43.943,68.476,7.796,3.0610128087147217,2.0,1.0,36.787,10.7,19.0,21.275,-17.41622407124072,79.082,11.852,35.261,56.183,49.524,17.137,60.041,4.957,41.421,36.787,18.475,25.1,7.595,9702.579,9455.014,5358.535,13512.255,0.462,0.536,0.622,0.768,0.687,0.601,0.682,0.961,0.662,0.688,0.515,8.896,7.973,69.91,11.431,8.49,73.095,66.927,11.594,11.268,0.783,0.512,0.053,0.075,74.382,1.05,42.733,10.269,122.0,1.566,1.644,18.267,0.556
HKG,79.4,77.091,82.915,19.315779731825053,5.717,100.0,53.984,67.507,0.123,14.526,12.022957992682535,6.630679039047358,19.073,9.8,2.5,10.029,8.611,352.822,3.629,6.387,60.073,57.893,0.171,88.231,0.09,49.653,18.911,13.172,25.6,449.64,59892.866,62984.766,45960.599,82992.881,0.13428643367167997,0.793,0.973,0.998,0.974,0.88,0.949,0.972,0.933,0.959,0.724,11.909,12.743,84.86,16.929,12.28,87.747,81.971,17.145,16.759,7.436,5.218,1.301,0.345,2.705,1.08,17.565,24.935,4.0,0.79,0.826,12.633,0.824
HND,30.98,32.205,29.599,21.094,41.39,57.7,51.987,85.927,21.524,3.806,13.0,10.0,22.466,23.343,13.3,10.281,-2.311,96.613,5.386,25.709,68.771,65.067,30.26,49.767,23.062,48.47,22.291,25.552,37.819,55.826,5727.974,5308.453,4172.735,6446.066,0.423,0.382,0.737,0.85,0.6,0.499,0.634,0.978,0.625,0.639,0.373,6.58,6.517,75.27,10.06,6.573,77.551,72.96,10.491,9.641,9.746,6.239,0.471,1.011,72.912,1.05,48.677,7.543,132.0,1.596,2.097,24.821,0.472
HTI,33.54,26.86,40.02,2.74,72.269,56.2,61.874,72.798,38.525,12.085571814526762,35.0,25.0,27.575,37.3,32.2,30.661,-10.13948329729611,74.309,13.781,27.594,67.184,57.926,28.659,64.654,40.13,55.799,27.575,40.588,50.439,19.473,1728.91,1708.809,1409.837,2015.737,0.636,0.286,0.459,0.677,0.429,0.456,0.51,0.875,0.473,0.54,0.212,4.284,6.6,64.0,9.7,5.592,66.182,61.831,9.008,10.392,11.263,6.992,0.57,1.266,51.676,1.05,52.931,8.157,170.0,1.495,1.57,39.98,0.303
HUN,97.378,96.406,98.447,12.563,6.024,71.6,48.469,65.503,2.713,3.785,1.0,1.0,28.601,3.111,4.2,11.085,-0.225,162.981,3.399,11.457,56.468,54.548,4.7,62.605,-8.418583245159518,46.489,28.629,7.377,14.466,318.724,32622.851,31328.806,23170.165,40316.332,0.233,0.796,0.838,0.875,0.868,0.821,0.854,0.981,0.844,0.861,0.743,11.75,12.21,76.88,15.204,11.963,80.289,73.244,15.525,14.894,9.685,6.38,1.907,0.457,23.979,1.06,21.911,29.898,40.0,1.045,0.844,7.259,0.791
IDN,50.914,46.842,55.054,17.391,47.895,56.0,53.08,81.885,1.042,2.196,12.0,10.0,32.332,16.154,13.9,17.038,-3.737,37.303,4.687,22.006,67.496,64.333,28.635,48.911,21.474,40.537,33.766,17.827,23.134,3196.683,11812.198,11459.097,7901.742,14966.487,0.48,0.545,0.685,0.796,0.716,0.65,0.718,0.94,0.694,0.738,0.551,7.762,8.578,71.72,13.607,8.167,73.967,69.572,13.673,13.546,270.626,183.307,16.374,23.94,47.374,1.05,38.703,8.932,107.0,0.939,1.032,17.729,0.59
IND,39.336,27.671,47.03,13.486,74.27,34.5,20.524,76.081,2.891,1.76,5.0,6.0,27.451,38.7,19.7,23.338,-2.194,40.019,5.355,30.92,49.293,46.653,42.385,32.038,42.375,15.862,30.214,26.357,18.793,9229.177,6754.287,6681.347,2330.549,10702.271,0.488,0.34,0.613,0.764,0.635,0.555,0.645,0.82,0.573,0.699,0.515,5.403,8.718,69.66,12.162,6.5,70.95,68.464,12.638,11.734,1366.418,915.552,87.149,116.782,13.177,1.1,39.726,9.519,131.0,0.972,1.067,25.731,0.475
IRL,81.12,81.924,79.944,24.312,10.61,63.4,55.973,68.365,0.151,-20.393,9.0,2.0,43.44,3.286,3.4,13.066,-4.942,239.215,4.928,10.009,62.067,59.008,4.619,76.679,-13.287725179513806,47.507,43.821,7.33,14.978,428.825,86781.39,68370.587,55540.145,81400.508,0.093,0.892,0.926,0.959,0.986,0.922,0.955,0.981,0.943,0.961,0.838,12.897,12.422,82.31,18.705,12.666,83.909,80.667,18.791,18.624,4.882,3.155,0.694,0.322,7.515,1.06,32.727,22.008,2.0,0.909,0.685,7.221,0.885
IRN,70.153,67.353,72.836,5.882,41.425,75.4,17.541,71.509,6.566103140049018,0.9721601640712692,1.0,1.0,23.779852716254368,5.0,9.2,27.358,0.6343058481104364,74.33101115207324,11.382,27.968,44.665,39.581,17.949,51.473,0.693,17.329,24.992544631790995,11.494,19.7,1172.666,14535.863,12446.666,4083.603,20636.861,0.459,0.719,0.792,0.872,0.729,0.756,0.783,0.866,0.709,0.819,0.585,10.278,10.41,76.68,14.814,10.347,77.885,75.593,14.575,15.044,82.914,57.2,5.272,7.583,40.635,1.05,35.738,9.217,70.0,1.926,1.789,11.3,0.693
IRQ,48.02,39.52,56.52,25.228,19.793,70.7,11.619,74.228,0.318,-1.286,18.0,7.0,12.857,29.7,15.9,25.139,-1.261,76.374,12.822,44.607,42.997,37.484,18.099,59.58,6.774,10.841,16.04474795554372,19.733,12.679,427.737,10881.172,10800.839,2426.974,18975.231,0.577,0.392,0.655,0.778,0.707,0.557,0.674,0.774,0.566,0.731,0.618,5.994,8.638,70.6,11.27,7.316,72.652,68.565,10.35,12.19,39.31,23.028,1.336,5.374,71.733,1.07,64.904,5.801,123.0,3.015,2.859,19.426,0.541
ISL,100.0,100.0,100.0,38.095,8.108,93.9,70.846,79.225,0.635,-1.801,7.0,3.0,20.221,2.795,2.4,7.799,6.353,85.917,2.842,4.742,75.033,72.9,3.938,79.629,1.2425097911575875,48.545,20.128,5.796,11.737,20.188,55873.951,54682.381,46413.011,62882.625,0.058,0.9,0.946,0.969,0.952,0.926,0.949,0.969,0.933,0.963,0.841,12.562,12.984,82.99,19.083,12.773,84.485,81.502,20.165,18.036,0.339,0.221,0.052,0.021,6.269,1.05,30.151,23.312,4.0,0.995,0.8,5.644,0.894
ISR,89.279,87.943,90.694,23.333,8.268,92.5,59.693,68.547,0.241,4.613,2.0,1.0,22.920572348830696,5.656,3.3,7.256,-0.679,124.83729334285823,3.861,15.156,64.042,61.569,0.924,82.084,-16.487922245465967,47.61,23.362799487403258,11.425,23.689,363.598,40161.919,40186.846,29665.373,50819.358,0.109,0.833,0.937,0.969,0.906,0.883,0.919,0.973,0.904,0.929,0.691,13.06,13.026,82.97,16.163,13.035,84.505,81.331,16.766,15.589,8.519,5.104,1.04,0.847,9.607,1.05,46.549,20.38,19.0,1.019,1.157,10.882,0.814
ITA,79.727,75.896,83.352,35.263,16.866,70.7,40.759,58.997,0.523,1.46,6.0,5.0,18.053,10.601,3.1,29.304,-2.943,60.139,9.887,18.818,49.555,44.655,3.684,70.444,-16.68156179246668,42.729,17.967,12.22,21.764,2557.373,42412.665,42776.357,31638.919,54529.251,0.069,0.709,0.947,0.977,0.915,0.793,0.892,0.968,0.875,0.905,0.716,10.179,10.599,83.51,16.089,10.38,85.539,81.325,16.414,15.783,60.55,38.644,13.934,2.383,5.24,1.06,20.63,36.058,29.0,1.18,1.188,11.822,0.783
JAM,66.187,70.044,62.366,19.048,35.773,56.0,59.782,72.468,15.641,9.60731204173139,6.0,3.0,23.306,5.6,10.0,22.136,-7.8973359135821255,89.026,8.002,31.01,66.029,60.746,15.93,67.901,3.336,48.458,23.337,16.621,32.0,28.78,9761.499,9319.131,7500.821,11163.326,0.396,0.651,0.754,0.838,0.685,0.689,0.734,0.994,0.73,0.735,0.466,10.151,9.289,74.48,13.141,9.733,76.118,72.868,13.902,12.379,2.948,1.991,0.263,0.233,52.757,1.05,34.837,13.209,101.0,1.924,1.585,15.867,0.612
JOR,84.157,82.15,86.06,15.385,9.202,91.2,14.386,63.742,10.311,2.490400281939376,13.0,10.0,22.29990691028675,15.4,10.6,35.027,2.1828406020115594,87.617,14.715,32.54,39.305,33.521,3.084,72.401,1.356,16.647,24.0780809048464,14.678,17.912,100.068,9906.054,9858.487,3323.646,16233.916,0.45,0.564,0.75,0.839,0.693,0.667,0.729,0.875,0.664,0.758,0.569,10.31,10.726,74.53,11.379,10.518,76.306,72.839,11.632,11.125,10.102,6.318,0.393,1.087,25.877,1.05,53.662,6.225,102.0,1.823,1.853,14.637,0.622
JPN,93.762,95.273,92.28,14.507,8.307,91.7,52.738,71.28,0.086,0.732,4.0,1.0,23.270386268198706,4.656,2.9,3.671,5.861,118.07092402988643,2.291,2.983,61.726,60.312,3.423,72.307,-7.147672246195121,44.309,21.763706822372814,8.27,16.663,5231.066,41429.288,42931.696,30583.93,55869.377,0.094,0.812,0.965,0.994,0.916,0.851,0.919,0.978,0.906,0.927,0.763,13.062,12.638,84.63,15.231,12.85,87.669,81.497,15.189,15.272,126.86,75.386,35.524,4.906,3.78,1.06,21.158,47.123,19.0,0.892,0.733,8.073,0.843
KAZ,99.459,99.291,99.649,22.078,23.154,57.5,62.675,75.529,0.281,1.992,1.0,1.0,23.218,3.2,7.7,3.88,0.277,64.432,4.59,10.519,68.757,65.601,15.802,63.742,0.132,48.562,26.981,7.152,10.3,487.869,26351.439,22857.461,16791.133,29295.813,0.19,0.804,0.761,0.825,0.821,0.83,0.825,0.98,0.807,0.823,0.736,10.859,11.922,73.6,15.613,11.895,77.669,69.23,15.779,15.116,18.551,11.774,1.42,1.948,29.75,1.07,45.506,12.057,51.0,1.304,1.087,7.067,0.766
KEN,35.2,29.84,37.314,23.261,51.3,27.5,72.128,77.345,2.952,0.12316708610130433,11.0,3.0,16.754,22.9,22.5,7.239,10.217418504496464,33.401,2.642,14.778,74.696,72.722,54.44,38.249,55.459,42.41,17.402,26.29,33.1,227.639,4329.871,4243.626,3665.52,4829.016,0.518,0.412,0.557,0.718,0.566,0.534,0.601,0.937,0.581,0.62,0.379,5.958,7.19,66.7,11.339,6.564,69.049,64.313,10.964,11.715,52.574,30.694,1.274,7.009,75.078,1.03,67.132,4.152,143.0,1.124,1.012,26.167,0.443
KGZ,98.42,99.09,98.34,19.167,33.789,36.6,44.768,75.735,28.504,7.698074228207158,4.0,1.0,31.469,3.364,11.3,14.354,-10.44288323395348,103.085,6.33,20.549,59.831,56.044,21.172,54.759,13.686,38.426,32.929,9.613,13.831,33.919,5253.097,4864.39,2971.455,6797.909,0.369,0.706,0.702,0.792,0.587,0.73,0.697,0.957,0.677,0.707,0.506,11.187,11.018,71.45,12.968,11.105,75.603,67.437,13.21,12.733,6.416,4.035,0.295,0.773,32.763,1.06,51.674,7.314,120.0,1.328,2.001,9.498,0.63
KIR,0.0,3.443521171754014,-3.9823163598487454,6.522,55.50363050918715,54.8,49.6865948308034,79.53301662376182,10.264,-1.1147283376386348,6.0,1.0,27.101509038995477,9.637,24.7,23.617413409907396,7.04581787144302,69.8955946271281,12.126112364266142,28.93539249397562,64.09344972588248,56.888281453733114,34.98146606406816,44.836052932932645,42.91495084913524,39.87053254632102,27.802811384071877,18.095,19.357,0.268,2275.171,4259.732,2583.810894566251,6088.9028289112775,0.48744961847382506,0.537,0.56,0.744,0.567,0.594,0.63,0.9070800082149654,0.6020941181669863,0.6536469909978155,0.457,7.918240853537068,8.118115519285336,68.37,11.802,7.984,72.342,64.248,12.194,11.41,0.118,0.071,0.005,0.015,16.177,1.06,59.654,6.793,134.0,1.8550034359355931,1.535519857362828,17.898,0.516
KOR,86.045,80.437,95.469,16.667,19.041,81.4,52.892,73.102,0.449,0.643,2.0,2.0,29.828,8.836,3.0,10.97,3.963,76.709,4.148,13.649,62.97,60.358,4.879,69.994,0.048,42.338,31.196,11.026,20.24,2205.971,42661.172,43043.711,27734.216,58309.279,0.064,0.789,0.941,0.97,0.916,0.865,0.916,0.936,0.881,0.941,0.731,11.428,12.874,83.03,16.482,12.214,85.954,79.935,15.914,16.975,51.225,36.981,7.715,1.97,1.379,1.06,17.656,20.861,23.0,0.9,0.82,10.692,0.815
KWT,51.527,56.566,49.084,4.615,1.083,100.0,49.683,87.512,0.021,7.42059803560738,2.0,1.0,26.842421035764872,22.108,5.9,15.8,0.32818019594189707,116.14701530079742,2.182,26.983,73.493,71.889,2.011,73.605,0.627,24.687,32.69360488901526,19.086259887685937,27.171950397482796,209.707,49846.144,58590.082,31697.754,75839.646,0.242,0.497,0.803,0.854,0.963,0.638,0.806,0.983,0.793,0.807,0.7216330555084614,7.974,6.832,75.49,14.246,7.276,76.58,74.76,15.243,13.249,4.207,3.184,0.116,0.297,8.194,1.05,28.489,3.652,64.0,5.187,2.923,13.87440634543556,0.7012846307767436
LAO,40.547,35.148,46.241,27.517,80.054,35.6,76.744,80.213,1.566,5.747469668880347,31.0,27.0,22.466493999428742,31.3,22.6,1.708,-8.663342873193123,96.58615142798746,0.626,6.804,78.474,77.982,62.422,25.685,35.624,46.643,25.20066224922995,24.796,20.3,56.111,7826.389,7413.332,5800.899,9012.951,0.459,0.331,0.571,0.737,0.65,0.481,0.613,0.927,0.589,0.636,0.518,4.876,5.728,67.92,10.987,5.288,69.746,66.142,10.678,11.29,7.169,4.555,0.299,0.794,65.41,1.05,50.844,6.554,137.0,0.834,0.881,24.733,0.461
LBN,54.884,54.314,55.562,4.688,26.882,88.8,22.874,71.41,13.991,2.123699264172643,18.0,4.0,18.353,6.2,7.4,17.609,5.226001833470516,63.612,6.229,25.505,47.013,44.085,13.609,63.934,0.21,23.313,18.353,11.310632071874329,20.3751064504337,100.898,14717.35,14654.534,6078.498,23124.197,0.411,0.567,0.84,0.907,0.753,0.604,0.744,0.892,0.691,0.774,0.5925864830074532,8.484,8.916,78.93,11.286,8.719,80.869,77.14,11.119,11.453,6.856,4.604,0.499,0.592,14.5,1.05,38.079,10.831,92.0,1.958,1.32,17.572949444455105,0.6158158333966726
LBR,29.214,18.545,40.115,11.65,77.198,51.6,72.058,80.615,9.812,9.103044281004642,15.0,6.0,22.816,42.9,29.8,2.309,9.834337639561419,127.452,2.814,13.238,76.315,74.167,43.273,46.51,69.405,49.24,22.816,32.292,22.7,7.05,1427.819,1258.411,1241.907,1274.749,0.65,0.243,0.476,0.678,0.383,0.426,0.48,0.89,0.453,0.509,0.296,3.458,6.164,64.1,9.58,4.806,65.497,62.715,9.164,10.403,4.937,2.763,0.162,0.73,135.962,1.05,72.823,5.871,175.0,0.664,0.961,31.8,0.325
LBY,57.501,70.492,45.054,15.957,5.723,80.4,33.949,65.31,4.944473145747546,1.5030875673429414,27.0,26.0,24.511374060406723,5.91772168816745,9.1,50.472,-4.375042062582871,118.322,18.563,31.817,49.686,40.463,18.905,59.173,0.356,30.347,26.358546366617425,15.605696137571861,30.225242343780124,102.842,15174.165,15687.714,9249.284,21998.63,0.252,0.49298067353064967,0.74,0.814,0.764,0.61,0.724,0.976,0.713,0.731,0.6026056556037582,8.47,7.214,72.91,12.854,7.6,75.951,70.097,13.065,12.644,6.777,4.573,0.302,0.633,5.769,1.06,41.599,6.608,105.0,1.589,1.65,19.150508096845137,0.5798678501352097
LIE,59.89759987873863,57.496682071613066,62.39068324176624,12.0,54.60124469167339,14.4,53.99912273905754,71.54624361548261,8.284213377014932,4.632783425051755,12.254730870707638,7.173091837961877,26.40464098720997,19.47132789041408,17.27141608556348,14.321452414660165,-3.8462640102731385,80.22422530913346,6.227726848041591,23.057208779350148,62.3163689214402,58.60059752481175,41.327434515496016,39.084947756058426,34.948335140928776,42.981862671030854,26.92112288025892,20.286631680983,23.199054280035966,2830.0812697096653,137142.9169170502,131031.59,97546.07573709896,157714.1379027421,0.13991535025092372,0.7644798659495897,0.8951134248712586,0.933,1.0,0.832,0.919,0.9795748480118146,0.9049140069981865,0.9251064861168927,0.7954236335534224,11.19046799406796,13.723196725160937,80.67,14.902,12.539,77.31045970712663,84.2697051738073,13.755,16.025,0.038,10.981410428501327,8.362253232556895,-7.132399321001152,5.546168489658989,1.0605067324928128,19.207416674782795,24.34605709235989,19.0,1.8538079485317358,1.428769625423475,7.50750117354867,0.8421465979108823
LSO,30.128,33.043,25.492,23.026,16.31,28.6,60.159,75.939,24.188,4.782,10.0,8.0,32.132,19.557,33.1,33.679,-4.792,134.622,23.405,30.361,67.884,51.996,8.536,49.241,60.631,45.684,32.132,27.514,29.577,5.882,2767.714,3150.62,2470.823,3849.476,0.553,0.428,0.353,0.528,0.521,0.532,0.527,1.014,0.529,0.522,0.367,7.183,5.823,54.33,11.316,6.539,57.58,51.201,11.738,10.893,2.125,1.331,0.105,0.253,92.726,1.03,51.858,7.867,165.0,1.333,1.328,27.411,0.382
LTU,95.886,94.299,97.438,21.277,9.152,67.9,56.538,67.74,2.405,2.496,7.0,4.0,21.123,3.881,5.5,12.385,-6.454,150.581,6.352,8.517,61.618,57.704,6.873,67.211,-17.145456315600093,51.473,16.684,10.317,20.574,103.043,36974.946,35798.67,30987.276,41389.087,0.124,0.863,0.813,0.86,0.888,0.898,0.882,1.03,0.894,0.868,0.706,13.1,13.048,75.93,16.637,13.077,81.371,70.294,17.078,16.212,2.76,1.786,0.556,0.147,10.854,1.06,23.392,31.149,34.0,0.985,0.86,9.985,0.791
LUX,100.0,100.0,100.0,25.0,5.615,91.2,54.914,63.67,2.821,59.64387764520885,1.0,1.0,16.88,6.291,3.4,14.888,-103.341,381.517,5.363,5.489,59.327,56.146,1.007,87.295,-181.8187523691715,45.897,17.427,9.825,18.991,70.967,114481.534,72711.674,58642.063,86487.782,0.065,0.756,0.925,0.958,0.995,0.806,0.916,0.976,0.901,0.923,0.806,12.0,12.636,82.25,14.256,12.311,84.346,80.157,14.318,14.198,0.616,0.431,0.088,0.033,4.727,1.05,22.433,20.386,23.0,1.198,0.842,9.561,0.826
LVA,100.0,100.0,100.0,30.0,7.143,68.2,55.721,68.383,3.323,2.635,1.0,1.0,22.86,2.53,5.4,12.277,-4.865,119.73,6.52,8.319,61.411,57.408,6.75,69.518,-12.790170045164118,51.97,22.083,9.584,19.584,58.971,30830.091,30282.394,25757.886,35584.275,0.176,0.861,0.805,0.851,0.863,0.883,0.866,1.036,0.879,0.849,0.694,13.447,12.551,75.29,16.168,13.031,80.012,70.233,16.848,15.516,1.907,1.208,0.388,0.113,16.171,1.07,25.74,32.1,37.0,0.76,0.75,9.172,0.783
MAR,32.396,29.089,35.951,18.447,47.538,63.0,21.469,70.139,5.673,1.347,1.0,1.0,28.532,25.489123633782548,13.0,22.078,-1.475,87.463,9.019,22.072,45.306,41.22,34.69,43.598,4.967,16.802,32.169,19.09017833229946,18.01115077064189,278.452,7514.721,7368.36,2974.841,11831.242,0.454,0.3974116731322761,0.759,0.872,0.65,0.569,0.686,0.835,0.612,0.734,0.5122008458844881,4.684,6.638,76.68,13.721,5.648,77.895,75.423,13.29,14.145,36.472,23.973,2.663,3.37,31.034,1.06,41.031,11.107,121.0,1.215,1.044,21.609129876334475,0.5235220263004784
MCO,61.362381224514074,58.62469832755941,64.41295879681883,33.333,20.973794054128085,100.0,50.64240988453476,73.64082620549149,1.3751355554001994,4.9676025432211866,12.0,1.0,21.343516407497148,18.14101516064894,10.926694108590722,18.47350262566142,-0.7485131706578727,106.04883422570323,8.480222584339437,16.51426603100812,62.878554914300224,58.05166766237478,7.374580634536393,72.12110883562161,-1.842151072698897,39.25765257113126,23.821954557465734,17.736162997558775,22.70094615372383,697.6137383990854,20909.316323118215,20260.234001021643,14872.30047106616,25153.53934432197,0.3563643719361478,0.5578026002166943,0.7046635096146855,0.8096800326332413,0.7142744242141428,0.6593390846049945,0.7220597656931073,0.9380227009054255,0.6982033423137031,0.7377290697685915,0.5533956563868162,8.414015185078611,9.08359642233703,72.6291739881913,13.293426115574848,8.72558028626043,74.94199345556076,70.34877623399703,13.392068971377922,13.193743711490882,0.039,10.98179886187904,8.362142605690828,-7.1321393060446585,47.767629138438515,1.0517341698935094,45.22095737174379,13.811500320934979,95.10968730637464,1.5609427275122876,1.353965450401582,18.964288482189968,0.5952025582839602
MDA,97.29,96.587,98.108,25.743,37.347,42.7,40.49,45.983,15.974,4.96,3.0,9.0,25.566,7.3,9.6,12.494,-4.529,85.769,5.473,27.85,43.086,40.728,35.931,47.22,0.348,52.802,26.305,10.4,14.0,34.639,13033.864,13663.607,11994.417,15477.128,0.204,0.659,0.722,0.798,0.743,0.711,0.75,1.014,0.754,0.744,0.639,11.769,11.638,71.9,11.534,11.708,76.157,67.624,11.775,11.303,4.043,2.915,0.486,0.206,22.415,1.06,22.039,16.662,90.0,0.614,0.847,10.3,0.672
MDG,0.0,-4.473431639513715,5.598389414311827,16.901,85.076,37.9,83.372,88.938,3.075,-1.4894959168967077,31.0,15.0,21.124,29.346,21.1,3.091,18.822227094706065,59.822,1.758,5.712,86.127,84.613,64.222,26.791,85.319,54.04,21.935,26.136,27.557,44.397,1646.22,1596.281,1273.303,1920.782,0.532294547044746,0.343,0.571,0.724,0.418,0.486,0.528,0.952,0.513,0.539,0.303,6.376,5.825,67.04,10.174,6.1,68.682,65.417,10.193,10.158,26.969,15.262,0.821,4.023,109.59,1.03,71.333,5.379,164.0,1.103,0.891,26.001,0.39
MDV,47.606,45.411,49.569,4.598,19.467,40.2,41.634,84.227,0.074,14.410880903535848,1.0,1.0,25.92265762540606,29.3,6.0,16.756,-6.594104551564989,135.737,6.138,21.854,69.79,65.507,8.47,73.146,8.945,21.725,28.08364263428926,21.081,25.846,10.043,18914.333,17416.778,7907.654,22931.119,0.369,0.405,0.852,0.906,0.779,0.573,0.74,0.923,0.698,0.756,0.578,7.023,7.016,78.92,12.2,7.02,80.779,77.523,12.276,12.124,0.531,0.406,0.019,0.037,7.81,1.07,25.957,4.748,95.0,0.945,0.706,20.382,0.584
MEX,63.167,62.227,64.239,48.408,26.932,80.4,44.185,78.452,3.07,2.295,27.0,16.0,20.887,18.389,10.5,7.072,-2.246,78.176,3.425,18.616,60.68,58.602,12.609,61.247,8.269,41.584,21.406,21.309,33.389,2519.162,19746.436,19159.84,12765.006,25838.403,0.322,0.574,0.758,0.847,0.794,0.703,0.779,0.96,0.76,0.792,0.529,8.588,8.948,75.05,14.81,8.755,77.879,72.203,15.04,14.576,127.576,84.708,9.462,11.041,60.365,1.05,39.436,11.17,74.0,1.142,1.35,20.759,0.613
MHL,92.061,91.644,92.469,6.061,21.050086256356625,77.4,51.70419209305837,71.34839805513855,4.600470331161704,7.435786884346081,15.0,4.0,24.94345287069289,4.3,10.262610002335508,17.20896289218746,-4.4253049409723175,117.11544022036318,7.154433534950591,17.556700440605752,62.02558676158429,57.7015547142101,9.174119170052819,67.4645960705708,-2.904517327851778,43.927568531243914,24.49554360127051,12.490797717062398,22.321187850910864,0.227,3894.177,5039.044,3305.9992939854383,6976.456570066523,0.3333253807759482,0.677,0.738893662593065,0.832,0.592,0.707,0.704,0.9441481587607851,0.683138910319727,0.7166025470081396,0.495577072389229,10.712,11.062,74.11,12.39,10.886,75.51289934117587,72.83470245467322,12.592300611618896,12.241003570322892,0.059,10.989567529433291,8.359930068369714,-7.126939006914857,59.9117233496904,1.0492104765541848,52.703304644079324,10.781301429150208,117.0,1.4768306837094667,1.3325158939804123,22.259587036469146,0.5241733447702398
MKD,49.926,41.826,57.683,39.167,19.028,58.2,42.986,67.346,2.498,3.757,25.0,2.0,21.222,8.368,7.9,39.143,-1.216,137.277,17.759,23.138,55.094,45.309,15.377,53.221,0.082,40.038,34.11,12.016,19.157,34.39,16506.085,15864.631,11698.139,20026.518,0.143,0.646,0.791,0.858,0.765,0.704,0.774,0.952,0.753,0.791,0.619,9.409,10.235,75.8,13.585,9.813,77.846,73.794,13.79,13.391,2.083,1.448,0.293,0.114,15.723,1.06,23.581,20.261,82.0,0.936,1.069,11.808,0.681
MLI,13.101,7.344,16.381,9.524,80.986,43.1,61.248,80.613,5.907,1.4214731839125712,30.0,18.0,20.688,43.86,36.7,14.742,7.130409389771728,57.189,7.224,26.519,70.813,65.697,62.591,29.83,76.148,43.054,22.526,33.41,16.564,45.752,2327.371,2268.773,1515.684,3019.486,0.671,0.16,0.383,0.605,0.472,0.286,0.434,0.821,0.388,0.473,0.393,1.714,2.992,59.31,7.461,2.353,60.085,58.529,6.797,8.109,19.658,9.868,0.49,3.532,169.127,1.05,94.232,4.97,184.0,1.195,1.217,32.374,0.289
MLT,82.179,78.708,85.573,14.925,9.809,94.7,46.047,67.06,1.776,30.272,4.0,2.0,19.607,6.188,4.6,8.24,-37.177,261.012,3.473,7.114,56.527,54.564,0.989,80.702,-76.80439464886284,40.969,19.984,8.045,13.011,21.785,43340.2,39554.521,29367.741,49686.441,0.175,0.774,0.918,0.962,0.903,0.825,0.895,0.966,0.877,0.909,0.786,11.055,11.599,82.53,16.104,11.326,84.263,80.699,16.547,15.694,0.44,0.286,0.092,0.022,12.879,1.06,22.093,32.099,28.0,1.156,0.583,7.933,0.823
MMR,25.833,28.74,23.48,11.568,59.059,30.9,47.497,77.361,3.733,5.433470101029565,16.0,7.0,25.66739528657078,26.9,22.8,4.004,-12.102912313228622,99.939509634486,1.577,19.557,61.665,60.693,48.889,34.964,17.088,44.395,23.944916076981226,24.683203182101263,23.320374149233945,277.91,5142.154,4960.528,3174.167,6881.055,0.478,0.339,0.56,0.725,0.59,0.464,0.583,0.954,0.564,0.592,0.4228110723055818,5.042,4.864,67.13,10.67,5.034,70.119,64.046,10.869,10.469,54.045,36.791,3.249,4.511,28.509,1.03,38.068,8.831,147.0,1.674,1.486,24.6568699672083,0.44664163122965633
