,Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Share of seats in parliament (% held by women),Vulnerable employment (% of total employment),Urban population (%),"Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male","Remittances, inflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)","Infants lacking immunization, measles (% of one-year-olds)","Infants lacking immunization, DTP (% of one-year-olds)",Gross fixed capital formation (% of GDP),Inequality in education (%),Inequality in life expectancy (%),"Unemployment, youth (% ages 15?24)",Private capital flows (% of GDP),Exports and imports (% of GDP),"Unemployment, total (% of labour force)",Youth not in school or employment (% ages 15-24),Labour force participation rate (% ages 15 and older),Employment to population ratio (% ages 15 and older),Employment in agriculture (% of total employment),Employment in services (% of total employment),Working poor at PPP$3.20 a day (% of total employment),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Gross capital formation (% of GDP),Overall loss in HDI due to inequality (%),Inequality in income (%),"Gross domestic product (GDP), total (2017 PPP $ billions)",GDP per capita (2017 PPP $),Gross national income (GNI) per capita (constant 2017 PPP$),"Estimated gross national income per capita, female (2017 PPP $)","Estimated gross national income per capita, male (2017 PPP $)",Gender Inequality Index (GII),Inequality-adjusted education index,Inequality-adjusted life expectancy index,Life expectancy index,Income index,Education index,Human Development Index (HDI),Gender Development Index (GDI),"Human Development Index (HDI), female","Human Development Index (HDI), male",Inequality-adjusted income index,"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Expected years of schooling, female (years)","Expected years of schooling, male (years)",Total population (millions),Population ages 15?64 (millions),Population ages 65 and older (millions),Population under age 5 (millions),"Adolescent birth rate (births per 1,000 women ages 15-19)",Sex ratio at birth (male to female births),Young age (0-14) dependency ratio (per 100 people ages 15-64),Old-age (65 and older) dependency ratio (per 100 people ages 15-64),HDI rank,Total unemployment rate (female to male ratio),Youth unemployment rate (female to male ratio),Coefficient of human inequality,Inequality-adjusted HDI (IHDI)
BLZ,78.951,79.041,78.909,11.111,29.622,45.9,49.904,80.603,5.292,12.126504361794664,4.0,1.0,18.96,15.9,11.1,15.124,-7.431791445894838,115.71,6.413,26.855,65.056,60.884,16.846,67.454,7.114,42.958,18.96,22.626,37.9,2.734,7004.912,6381.598,4896.2,7880.674,0.415,0.584,0.747,0.84,0.628,0.695,0.716,0.976,0.706,0.723,0.39,9.928,9.916,74.62,13.114,9.922,77.843,71.65,13.375,12.847,0.39,0.255,0.019,0.039,68.487,1.03,45.4,7.439,110.0,2.217,2.628,21.633,0.554
BOL,58.79,53.096,59.489,51.807,63.224,69.8,63.177,80.515,3.256,-0.39,21.0,19.0,18.975,17.568,22.5,6.91,-0.797,56.397,3.498,11.22,71.813,69.301,30.709,49.882,9.98,44.069,19.875,23.955,31.169,100.446,8724.476,8553.784,6481.032,10609.995,0.417,0.573,0.614,0.792,0.672,0.695,0.718,0.945,0.696,0.737,0.463,8.294,9.785,71.51,14.2,9.018,74.508,68.684,14.166,14.234,11.513,7.142,0.845,1.187,64.9,1.05,49.367,11.83,107.0,1.172,1.215,23.746,0.546
BRA,60.372,61.551,58.26,14.983,27.908,86.8,54.208,74.102,0.179,4.27,9.0,19.0,15.357,21.189,10.9,27.387,-1.86,28.977,12.083,23.795,63.884,56.165,9.221,70.996,3.841,44.967,15.113,25.49,40.962,3092.217,14651.616,14262.935,10534.708,18119.944,0.408,0.547,0.766,0.86,0.749,0.694,0.765,0.993,0.76,0.765,0.442,8.185,7.749,75.88,15.414,7.981,79.555,72.243,15.766,15.061,211.05,147.184,19.526,14.572,59.111,1.05,30.125,13.266,84.0,1.347,1.284,24.35,0.57
BRB,93.151,94.58,92.2,29.412,15.841,31.2,61.693,69.079,2.079,10.842276008338708,8.0,8.0,15.522,5.5,8.7,30.219,-8.505130389519827,83.692,10.331,25.339,65.227,58.488,2.63,78.331,0.348,49.663,15.691,16.953,33.6,4.489,15638.83,14935.909,12655.9,17370.232,0.252,0.739,0.831,0.911,0.756,0.782,0.814,1.008,0.816,0.809,0.502,10.961,10.335,79.19,15.393,10.642,80.482,77.814,16.802,13.984,0.287,0.192,0.047,0.015,33.55,1.04,25.555,24.326,58.0,1.071,1.115,15.933,0.676
BRN,70.203,69.52,70.682,9.091,6.035,77.9,57.787,71.028,3.046609368451904,2.771,3.0,1.0,38.507,7.1678453714128665,7.6,30.034,7.625,108.51,9.117,20.989,64.678,58.781,1.363,82.756,0.17,42.841,38.678,14.454147898062848,27.037933794729433,26.907,62099.588,63965.093,54385.934,72834.571,0.255,0.5947749905301641,0.794,0.859,0.976,0.702,0.838,0.981,0.83,0.846,0.7325305889349889,9.134,9.166,75.86,14.314,9.14,77.106,74.728,14.782,13.889,0.433,0.313,0.023,0.033,10.272,1.06,31.334,7.218,47.0,1.162,1.028,11.88104624078823,0.7546301500872314
BTN,27.621,23.275,31.376,15.278,71.479,41.6,58.862,73.442,6.304690524360535,11.91358378073761,3.0,1.0,25.441971461315642,41.7,17.1,10.504,-15.556900180887006,107.59686764355888,2.342,28.757,66.714,65.152,55.315,33.917,11.17,32.855,32.77310348871302,27.217,20.0,8.559,11345.445,10745.844,8117.425,13069.455,0.421,0.289,0.66,0.797,0.707,0.496,0.654,0.921,0.626,0.679,0.565,3.255,4.793,71.78,12.983,4.074,72.176,71.405,13.466,12.75,0.763,0.523,0.047,0.064,20.184,1.04,36.957,8.887,129.0,1.826,1.505,26.267,0.476
BWA,90.46,89.64,90.888,10.769,25.912,70.2,65.375,76.898,0.273,3.967689462351016,3.0,2.0,31.539,23.277,19.4,37.35,-3.8361937603600964,74.111,18.193,34.849,70.82,57.935,20.687,61.197,28.303,49.554,33.153,25.45272957837739,30.800712752577006,40.929,17766.488,16437.141,15276.174,17676.754,0.465,0.518,0.615,0.763,0.771,0.676,0.735,0.998,0.734,0.735,0.5132512201272104,9.487,9.652,69.59,12.85,9.56,72.386,66.485,12.992,12.707,2.304,1.425,0.101,0.272,46.061,1.03,54.573,7.057,100.0,1.385,1.425,20.00028397046112,0.5796144674075476
CAF,22.08,13.42,31.32,8.571,91.379,41.8,64.44,79.776,6.677591750475136,-1.6908685975353883,51.0,31.0,22.363,34.5,40.1,5.706,7.94222855873366,66.135,3.68,20.575,71.955,69.307,77.323,17.273,82.457,37.675,23.156,41.562,49.2,4.484,944.868,993.009,792.244,1197.293,0.68,0.231,0.307,0.512,0.347,0.353,0.397,0.801,0.351,0.438,0.176,3.024,5.582,53.28,7.568,4.282,55.514,51.081,6.194,8.942,4.745,2.528,0.134,0.731,129.074,1.03,82.455,5.284,188.0,0.944,0.899,41.267,0.232
CAN,100.0,100.0,100.0,33.183,10.691,81.5,60.836,69.422,0.078,2.584,10.0,6.0,22.141,2.671,4.6,10.765,1.294,64.977,5.564,12.88,65.071,61.451,1.452,79.073,-3.4985387012035005,47.788,22.704,8.719,18.06,1843.053,49031.38,48527.036,39459.205,57733.575,0.08,0.87,0.916,0.96,0.934,0.894,0.929,0.986,0.922,0.935,0.766,13.416,13.313,82.43,16.158,13.366,84.391,80.447,16.67,15.664,37.411,24.881,6.602,1.98,8.387,1.05,23.826,26.536,16.0,0.902,0.822,8.444,0.848
CHL,79.647,77.773,81.12,22.727,22.694,87.6,51.798,73.975,0.023,1.187918618330709,5.0,1.0,22.44,10.386,6.3,18.97,2.5910770605629523,56.762,7.09,16.399,62.644,58.202,9.002,68.845,0.465,43.836,22.775,16.686,31.145,459.135,24226.151,23261.297,16397.965,30321.885,0.247,0.726,0.868,0.926,0.823,0.81,0.851,0.963,0.833,0.865,0.567,10.476,10.71,80.18,16.448,10.583,82.442,77.771,16.67,16.23,18.952,13.006,2.252,1.183,41.052,1.04,28.407,17.314,43.0,1.16,1.168,15.944,0.709
